Category,Content
kultur-sanat,"Rolling Stones'tan yeni album Dunyanin en unlu rock gruplarindan Rolling Stones, kurulusunun 50. yil donumunde yeni bir album cikariyor. Universal sirketi, icinde iki yeni sarkinin da oldugu Rolling Stones'un en iyi parcalarindan olusan ""Grrr!"" isimli albumun 12 Kasim'da muzik marketlerde yerini alacagini, yeni sarkilardan ""Doom and Gloom""un yarin sabahtan itibaren radyolardan dinlenebilecegini duyurdu. Londra'da 12 Temmuz 1962'de kurulan grup, bu yil 50. kurulus yil donumunu kutluyor."
kultur-sanat,"'Sefiller' filminin afisleri cikti! 42 ulkede, 21 dilde, 60 milyon kisinin sahnede izledigi ve 27. yilinda hala her yerde gise rekorlari kiran, Victor Hugo'nun unlu eserinden uyarlanan Sefiller muzikalinin sinema versiyonu 1 Mart 2013'te vizyona giriyor. Kadro cok buyuk... Sefil olmayacak kadar iyi bir kadro ama isimleri 'Sefiller'. Victor Hugo'nun olumsuz eseri 'Sefiller'in karakter afisleri gunyuzune cikti. Anne Hathaway'den Russel Crowe'a pek cok usta oyuncunun oynadigi film, onumuzdeki yil gosterime giriyor. Seti, 19. yuzyil Fransa'si temel alinarak hazirlanan Les Miserables'in, yikilan hayalleri, karsiliksiz aski, tutkuyu, fedakarligi ve arinilan gunahlari anlatan buyuleyici bir hikayesi var. Bu, insan ruhunun varligina dair ebedi bir vasiyet. Jackman, eski bir mahkum olan ve sartli tahliyesinden sonra acimasiz polis memuru Javert (Crowe) tarafindan on yillardir kovalanan Jean Valjean'i oynuyor. Valjean, fabrika iscisi Fantine'in (Hathaway) genc kizi Cosette'e bakmayi kabul edince hayatlari sonsuza dek degisir. 2012 yilinin Aralik ayinda, dunyanin en uzun soluklu muzikali, Victor Hugo'nun efsanevi hikayesi, Tom Hooper'in genis kapsamli ve muhtesem yorumuyla beyaz perdeye geliyor. Sovlarin sovu Les Miserables, uluslararasi yildizlar ve aralarinda ""I Dreamed a Dream,"" ""Bring Him Home,"" ""One Day More"" and ""On My Own""un da bulundugu sevilen sarkilarla bir sinema muzikali ve buyuk bir deneyim olarak yeniden doguyor."
kultur-sanat,"Tuvaldeki Anadolu Brukselde Cagdas Turk resim sanatinin onemli isimlerinden Yalcin Gokcebagin, Anadolunun degisik yorelerindeki yasami gosteren sergisi 8 Kasim Persembe gunu Brukselde Turkiyenin AB Daimi Temsilciliginde acilacak. 19 eserin yer aldigi resim sergisi bir ay surecek. Daha once ABD, Ingiltere, Fransa, Urdun, Makedonya ve Suriyenin degisik kentlerinde sergiler acan Gokcebag, Brukseldeki sergi icin davetin AB Daimi Temsilcisi Buyukelci Selim Yenelden geldigini soyledi. Gokcebag sergiyle ilgili soyle konustu: Anadoluyu adim adim dolasmis bir sanatci olarak, Anadoludaki insan yasaminin degisik donemlerini resimledim. AB baskenti, hem Turk resim sanatiyla, hem de Anadoludaki yasamla tanisacagi icin mutluyum."
kultur-sanat,"Turk sinemasi evrensel duzeyde degil! BURDUR Belediyesi'nin davetlisi olarak kente gelen sinema sanatcisi Salih Guney, Turk sinemasinin halen evrensel duzeye gelemedigini soyledi. Burdur Belediyesi Turk Sanat Muzigi Toplulugu'nun verdigi, Yesilcam Film Sarkilari'ndan olusan konsere katilmak icin kente gelen Salih Guney, Turk sinemasinda gecmiste cok daha dogal ve guzel filmler yapildigini belirtti. Kendilerinin daha dogal, daha icten ve guzel filmler yaptiklarini anlatan Salih Guney, bugunlerde hasilat rekoru kiran filmlerden ise sadece 'Recep Ivedik' gibi farkli yapimlarin dikkati cektigini kaydetti. Guney, Turk sinemasinin halen evrensel duzeye gelmedigini ifade etti. Guney, ""Bugun Turk sinemasinda ferdi basarilar var. Ancak buna ragmen 3- 5 onemli yonetmenin disinda evrensel duzeyde yapim goremiyoruz. Bu da sinemamizin halen evrensel duzeye gelmedigini gosteriyor"" dedi.Yillar gecmesine ragmen Yesilcam oyuncularinin halen birer efsane oldugunu savunan Salih Guney, bunun Yesilcam oyuncularinin karsiliksiz bir sevgiyle halkla butunlesmesinden kaynaklandigini belirtti. Bazi arkadaslarinin maddi sikinti cektigini ve yasamini kaybettigini de hatirlatan Guney, ""Yesilcam 20'nci yuzyilda kaldi. Oyuncu arkadaslarimiza basinda soyledik, cag degisiyor, herkes kendine bir duzen kursun. Ancak zor durumda kalarak hayatini kaybeden sanatcilar oldu. Bu durum bizler icin cok uzucu. Ancak simdi sendika kuruldu ve sendikanin getirdigi avantajlari degerlendirecegiz. Biz de birbirimize sahip cikmaya calisiyoruz"" diye konustu."
kultur-sanat,"Koy cocuklarinin tiyatro mutlulugu! BITLIS Kultur ve Sanat Dernegi'nin Sosyal Destek Programi (SODES) kapsaminda hazirladigi, 'Koy Koy Okul Okul Tiyatro' projesiyle, koylu cocuklar tiyatroyla tanisiyor. Proje kapsaminda Yolcular Koyu Ilkogretim Okulu'nda sahnelenen 'Meddah Amca' adli oyun buyuk ilgi gordu. Bitlis'te Kultur ve Sanat Dernegi'nin SODES kapsaminda hazirladigi bir projeyle, tiyatro koydeki ogrencilerin ayagina goturuluyor. Proje kapsaminda oyuncular ve dernek yoneticileri ilk oyunun sergilenecegi Yolcular Koyu Ilkogretim Okulu'na gitti. Dersliklerin sahneye donusturuldugu okulda sergilenen 'Meddah Amca' tiyatro oyunu buyuk ilgi gordu.Oyunun Bitlis'in 64 koy okulunda da sergilenecegini belirten Proje Koordinatoru Haydar Yilmaz, amaclarinin tiyatroya ulasamayan ogrencilere tiyatroyu sevdirmek oldugunu soyledi. Yilmaz, ""Bugun ilk olarak oyunumuzu Yolcular Koyu Ilkogretim Okulu'nda sahneledik. Tiyatroyu buradaki cocuklarimizin ayagina getirdik. Oyun sonunda cocuklara hikaye kitaplari hediye ediyoruz. Onlarin mutlulugu bizi daha da mutlu ediyor. Projemiz 1.5 ay daha surecek"" dedi."
kultur-sanat,"Oda muzigi festivali basliyor! Turk ve yabanci sanatcilarin barok, klasik, romantik ve modern turdeki eserleri seslendirecegi 'Uluslararasi Opus Amadeus Oda Muzigi Festivali', 7 Mart-8 Nisan tarihleri arasinda gerceklestirilecek. Konuya iliskin yapilan aciklamaya gore, festival, klasik muzik eserlerini 7 konserle Besiktas Belediyesi Fulya Sanat ve Saint Antuan Kilisesi'nde Istanbullu muzikseverlerle bulusturacak.Festivalde, Turkiye, Avrupa ve Amerika'nin unlu muzisyenlerinin icralari ile barok, klasik, romantik ve modern muzigin seckin eserlerine yer verilecek.Festivalin acilisi, 7 Mart'ta Besiktas Belediyesi Fulya Sanat'ta kemanda Ellen Jewett'in, viyolada Atilla Aldemir'in yer aldigi'Keman Viyola Duo'konseriyle gerceklestirilecek. Besiktas Belediyesi Fulya Sanat'ta, 14 Mart'ta piyanist Tulug Tirpan, kemanci Sevil Ulucan Weinstein, viyola sanatcisi Beste Tiknaz Modiri ve viyolonselci Erman Imayhan, 21 Mart'ta arp sanatcisi Cagatay Akyol ve Ankara Filarmoni Orkestrasi solistleri, 24 Mart'ta Bilkent Nefesli Toplulugu ile 28 Mart'ta piyanistler Ozgur Aydin ve Muhiddin Durruoglu sahne alacak.Festival kapsaminda, unlu yonetmen Federico Fellini'nin olumunun 20. yil donumu anisina Italyan Nino Rota Ensemble, 4 Nisan'da Besiktas Belediyesi Fulya Sanat'ta konser verecek. Vivaldi, Bach, Handel, Mozart, Caykovski, Ravel gibi bestecilerin eserleri ile eski caglardan Macar melodilerinin yer alacagi festival, 8 Nisan'da Beyoglu'ndaki Saint Antuan Kilisesi'nde, Corelli Consort Barok Muzik Toplulugu'nun konseriyle sona erecek."
kultur-sanat,"21 yil once Hocali Buz gibi bir gece! Azerbaycanda 21 yil once yasanan Hocali katliami sinemaya aktarildi. Ermenistanin bir dugun gecesi 600 kisilik Azeri kasabasini yok ettigi olaylari anlatan Hoca adli film yarin gosterime giriyor. Filmin yonetmeni Vahid Mustafyev. HOCALI Katliamini anlatan ""Hoca"" adli film yarin gosterime giriyor. Filmin Kanyon alisveris merkezindeki galasina yonetmen Vahid Mustafayev ile basrol oyunculari katildi. Gosterim oncesinde gazetecilerin sorularini yanitlayan Azeri yonetmen Vahid Mustafayev, filmde, savasin aci yonlerini ve savasta ulkeler arasinda kaybedilen dostluk, kardeslik duygularini anlatmak istedigini soyledi. Mustafayev, ""21 yil once, 26 Subat 1992'de Hocali kasabasinda soguk bir gecede 600'u askin kisi katledildi. Bugun dunyanin bircok yerinde savas var ya da savasa baslama arifesinde bulunuluyor. Bu film sadece Azerbaycan halkinin dertli konusu degil. Bu film Turkiye'yi de ilgilendiriyor. Savas zemininde yazilmis bir askin hikayesidir bu"" diye konustu. Bir gecede bir kasabanin tamamen yok oldugu Hocali katliami, Insan Haklari Izleme Orgutu tarafindan Daglik Karabag bolgesi isgal edildikten sonra en kapsamli sivil katliam olarak nitelendirildi. Filmde perdeye yansiyan Azerbaycan'in direnisci halk kuvvetlerinin, Rus ve Ermenistan ordusu karsisindaki mucadelesi sinema izleyicisine yakin tarihin acili bir sayfasini hatirlatiyor. Dugun gecesi  gelen katliam - Filmin konusu bir ask hikayesi ekseninde ilerliyor. Evlenmek uzere olan genc cift Alekber ve Gunel, dugunlerini Baku'de planlarken, Karabag'da Alekber'in kasabasina bir saldiri planlanmaktadir. Dugun hazirliklari surerken, hala askerlik gorevini yapan Alekber ve arkadaslari, hic gelmeyen destek ordusunu beklemektedir. Dugun gecesi gelen katliam ise butun planlari altust eder."
kultur-sanat,"Bu dunyadan Necdet Konak gecti TANIYANLAR onun icin Zor zamanlari celebisiydi diyor. Sair Arif Ay'in soyledikleri de cok anlamli: 'Cizgileriyle Seytan taslayan iki sanatcidan biriydi, oteki Hasan Aycin.' Bu sozler cizgileriyle hep mazlumlarin yaninda durmus bir sanatciyi, karikaturist Necdet Konak'i tanimlamak icin dile getiriliyor. Aramizdan ayrilali sekiz yildan fazla olmus. Ozellikle 28 Subat gibi sancili donemlerde kalemini ve cizgisini dik tutabilen Necdet Konak, 1957'de Amasya'da dogdu. Milli Egitim Bakanligi ve Basbakanlik ve Aile Arastirma Kurumu'nda cesitli gorevler aldi. Vefat ettigi 2004'e kadar TBMM'de musavir olarak calisti. Bu sure zarfinda cizgi sanatindan hic kopmayan Necdet Konak, pek cok gazete ve dergide cizgileriyle ezilen, haklari elinden alinan kesimlerin yukselen sesi oldu hep. Turk mizahinin defolari var Bosna Hersek'in efsanevi lideri Aliya Izzet Begovic'e adadigi 'Aliya' basta olmak uzere 'Cevher Dudavey' ve 'Kiziroglu' gibi cizgi romanlara da imza atan Konak, mizahla ilgili su gorusleri dile getiriyordu: 'Turk mizahinin iki buyuk defosu vardir: Biri sapkinlik derecesine varan cinsellik, digeri Turk mizahinin 'Kralin soytarisi' roludur. Mizah dogasi geregi ezilenlerin sesi olmasi gerekirken egemenlerin maskarasi olmayi yeglemistir.' Necdet Konak'i karikatur albumunde yer alan iki cizgiyle aniyoruz. Ruhu sad olun. 28 Subat mizah odulleri! KARIKATURIST Necdet Konak, 28 Subat ile ilgili goruslerini mizahi bir uslupla dile getiriyordu: 28 Subat'ta ete kemige burunen akildisiligin yasandigi bir ulke asla mizahsiz yapamaz. Cunku yasananlarin akilla izahi yapilamaz. Tek care isi sakaya, yani mizaha vurmak. Eger adamlara 'saka yapiyorsunuz' demezsek 'delisiniz' demek zorunda kalacagiz. Acilen '28 Subat Mizah Odulleri' dagitilmalidir."
kultur-sanat,"32. Istanbul Film Festivalinin programi aciklaniyor! Istanbul Kultur Sanat Vakfi (IKSV) tarafindan Akbank sponsorlugunda duzenlenecek 32. Istanbul Film Festivali, seckin filmler, yeni bolumler, usta yonetmenler ve surpriz konuklarla 30 Mart14 Nisan tarihleri arasinda gerceklestiriliyor. 32. Istanbul Film Festivalinin programi 4 Mart Pazartesi aksami 18.30da Istanbul Film Festivali konaklama sponsoru olan Marti Istanbul Hotelin Istanbul Balo Salonunda yapilacak bir basin toplantisi ile aciklaniyor. Basin toplantisina konusmaci olarak IKSV Genel Muduru Gorgun Taner,Festival sponsoru Akbank adina Genel Mudur Hakan Binbasgil ve Istanbul Film Festivali Direktoru Azize Tan katilacak. Toplantiya ayrica, Altin Lale Ulusal Yarisma ve ""Turkiye Sinemasi bolumlerinde yer alacak filmlerin yonetmen ve oyunculari da katiliyor."
kultur-sanat,"Devlet Tiyatrolari 19 oyunla perde diyor! Devlet Tiyatrolari 19 oyun, Devlet Opera ve Balesi 6 eser ve 1 konserle izleyicinin karsisina cikiyor. Devlet Tiyatrolari 19 oyun, Devlet Opera ve Balesi 6 eser ve 1 konserle izleyicinin karsisina cikacak. Grimm kardeslerin unlu masali 'Bremen Mizikacilari', baskentli minik sanatseverlerle 3 Mart'ta bulusacak. Hale Kuntay'in cevirdigi, Zeynep Celen Tamer'in rejisorlugunu yaptigi iki perdelik muzikal oyunda, yaslandiklari ve eskisi gibi is yapamadiklari icin kendilerini ise yaramaz olarak goren ve bu yuzden evlerini terk eden Duldul, Karabas, Ibikli ve Mirnav'in hep birlikte Bremen'e dogru yola cikmalariyla baslayan olaylar anlatiliyor. Tiyatro Akun Sahnesi: Erdal Besikcioglu'nun oynadigi 'Bir Delinin Hatira Defteri' hafta boyunca seyredilebilecek. Oyunun proje tasarimi ve yonetmenligini Cem Emuler, dekor ve giysi tasarimini ise Sertel Cetiner ustleniyor. 'Pal Sokagi Cocuklari' 2 Mart'ta, 'Fosforlu Cevriye' 5 ve 6 Mart'ta sahnelenecek. Altindag Tiyatrosu: Semih Sergen'in yazip yonettigi, 'Bir Hilal Ugruna' adli oyun hafta boyunca temsil verecek.Bursa DT, Eric Emmanuel Schmitt'in yazdigi, Mustafa Kurt'un yonettigi 'Kari Koca Arasinda Ufak Tefek Cinayetler' oyununu, 5 ve 6 Mart'ta seyirciyle bulusturacak. Buyuk Tiyatro: Orhan Asena'nin yazdigi, Serhat Nalbantoglu'nun yonettigi 'Hurrem Sultan', 1 ve 3 Mart'ta, Kenan Isik'in Seyh Galib'in eseri Husn-u Ask'tan esinlenerek yazdigi 'Ask Hastasi', 5 Mart'ta seyredilebilecek. Cuneyt Gokcer Sahnesi: Isil Kasapoglu'nun yonettigi, Edmond Rostand'in yazdigi, Sabri Esat Siyavusgil'in cevirdigi 'Cyrano De Bergarac' hafta boyunca sahne alacak. Oyunda Durukan Ordu, Zeynep Yasa, Irfan Kilinc, Ismet Numanoglu ve Edip Tumerkan rol aliyor. Hurrem Sultan 5 Mart'ta temsil verecek. Kucuk Tiyatro: Istanbul Devlet Tiyatrosu yapimi 'Cirkin' bugun, yarin ve 2-3 Mart'ta izleyicinin karsisina cikacak. 13 yas ustu izleyicinin seyredebilecegi yapim, cirkinlik ve guzellik kavramlarini yuzlestiren, estetik cilginliginin pesinden kosan, sasirtici, kiskirtici, dengelerle oynayan, kurallari altust eden bir kara komedi ornegi. Shakespeare'nin ayni adli eserinden uyarlanan 'Venedik Taciri' ise 5 Mart'ta gorulebilecek. Oda Tiyatrosu: Bir muzisyen uzerinden toplumun, bireyin, muzigin, cinselligin, hiyerarsinin dedikodusunu yapan 'Kontrabas' ise bugun, yarin ve 2 Mart'ta izlenebilecek."
kultur-sanat,"Unlu kurator Catherine David Akbank Sanat'ta Akbank Sanat, Ali Akay diktatorulugunde gerceklestirilecek Cagdas Sanat Konferansinda unlu kurator konuk ediyor. Etkinlik 4 Mart 2013 Pazartesi gunu AkbankSanat'ta saat 19.00'da basliyor. Merkez(ler) Disi Modernin Zorluk ve Celiskileri adini tasiyan konferansta Ortadogudan birkac ornek uzerine odaklanacaklarini belirten Catherine David, etkinlik ile ilgili degerlendirmesinde, Batili olmayan bircok yerde, genc sanatcilar sanki bir hiclikten ya da bir kara delikten ortaya cikiyor gibi gozukuyor. Birkac nesil sanatcinin cabalariyla olusmus olan modern kulturden en iyi ihtimalle bihaber olmak veya en kotu ihtimalde bunu yadsimanin ardinda tabi ki pek cok sebep var dedi. Catherine David hakkinda 1980li yillarda sergi kuratoru olarak cagdas sanatlara yonelen Catherine David; Ispanyol ve Portekiz Edebiyati, dilbilimi ve sanat tarihi okudu. Once Georges Pompidou Sanat Merkezinde calisti(1981-1990); daha sonra Ecole du Louvr, Pariste dersler verdi (1989-1991). 1990-1993 yillari arasinda, Nanterre Universitesinde Etnoloji Bolumunde dersler verdi. 1990-1994 yillari arasinda Jeu de Paume Galerisinin kuratoru oldu. Bes yilda bir yapilan cagdas sanatin en prestijli sergisi olarak kabul edilen Documenta Xun kuratorlugunu yapti (1994-1997). Sonra, Rotterdama Witte de Withe gitti. Bu sure zarfinda bircok cagdas sanat yazisi yazdi. 2001den itibaren sergi ve seminerlerle yurutulen 'Cagdas Arap Temsili projesini ve onunla birlikte isleyen Tamass dergisini yurutmektedir."
kultur-sanat,"Sair Nurullah Genc: ""Dunyaya gozumu siirle actim"" Duzenlenen bir etkinlikle okurlariyla bulusan Sair Nurullah Genc, dogup buyudugu koy evinde, naatlar ve destanlar okunan bir odada kulagina dolanlarla bugun ulkenin onemli bir sair olusu arasindaki iliskiyi ve hikayeyi anlatti. Etkinlik, Turkiye Yazarlar Birligi Istanbul Subesi tarafindan duzenlendi. 27 Subat Carsamba gunu Zeytinburnu Kultur ve Sanat Merkezinde gerceklesen program Nurullah Genc okuyucularinin ilgisiyle karsilik buldu. Ahmet Cihad Sancarin Nurullah Gencin sevilen siiri Siyah gozlerine beni de gotur siirini seslendirmesiyle baslayan program, sairin en kucuk okuyucusu Sila Aydoganin Cihad Sancarla birlikte Yagmur siirini seslendirmesiyle devam etti. Turkiye Yazarlar Birligi Istanbul Subesi Baskani Mahmut Biyiklinin Nurullah Gence yonelttigi sorularla devam eden program, usta sairin nuktedan sohbetiyle keyifli anlara sahne oldu. Mahmut Biyiklinin Nasil bir cocukluk gecirdiniz? sorusuna unlu sair Peygamberlerin kapiyi cekip gittigi bir dunyada yasiyoruz. Bu dunyada ne yapiyoruz diye dusunuyor sonra insan. Sanat da bu noktada ortaya cikiyor. Allah rizasi olmadan hangi sair imgeler dunyasinda gezinebilir? Bu dunyada hicbir seyi ben yaptim diyemezsiniz. Benim buyudugum ocakta buyuklerim bana buyuklenmemeyi ogretti. Dunya gokyuzune oklar atan buyukler gordu, gun geldi hepsi insanlarin ayaklari dibine serildiler. Simdi burada degiller. Ben herkesin insan olmasi hasebiyle serefli bir mahlukat sayildigi bir koy evinde buyudum. Erzurumun Horasan ilcesinde gecti cocuklugum. Rahmetli dedem bir gaziydi ve evimizde surekli misafirler davet edilirdi. Her aksam evin siyer okumalari icin ozel olarak duzenlenmis bir odasina ellerimizden tutularak goturulurduk. Merhaba faslindan sonra; Laz, Kurt, Cerkes, Turk demeden, herkesin bir arada oldugu bir ortamda, Peygamberimizin hayatini anlatan manzum seklinde yazilmis bir kitap okunmaya baslanirdi. O koy evinin, o nezih odasinda hayata boyle basladik. Idrak yasina erdigimizde de okunanlar gibi yasamaya basladik. Babam Niyazi Misriyi ezberden okurdu. Battal Gazi ve daha nice destanlari ben o odada dinledim. Henuz siir yazmasak da, siirden olusmus bir varliga donustuk. Soylenen bir soz yoktu ki ahenk icinde olmasin. Yani dogdugumda siirle gozumu actim dunyaya. cevabini verdi. Dokuz cocuklu bir ailenin ilk erkek cocugu olarak, yasadigi toplumun tersine babasi tarafindan okutuldugunu anlatan Genc; Babam iyi bir adamdi. Butun imkansizliklarina ragmen, benden calistirarak faydalanmak yerine okutmayi tercih etti. Oradan oraya gecen butun okul hayatim boyunca, universite de dahil ayakkabi boyaciligi yaptim. Insaatlarda calistim. Hem okudum, hem kazandim. Ayakkabi boyaciligim da cok iyidir. Bugun gerekirse yine yaparim. Alin terimle yapacagim hicbir isten utanmam. diyerek nuktedan ve alcakgonullu uslubuyla dinleyicilerine tebessum ettirdi. Sair Nurullah Genc, Mahmut Biyiklinin Siire ne zaman basladiniz? sorusuna ise; Okul hayatim boyunca okulda siirler okunuyordu. Bircogunu ezbere biliyor ve okuyordum. Benim icin dogaldi. Hocalarim nereden biliyorsun diye sordugunda, koyde ogrendim diyordum. Sasiriyorlardi. Siir de yaziyordum zaman zaman ama cok ciddiye almiyor, alay ediyordum daha cok. Yarismalara girer, dereceler alirdim. Sair diye seslenirdi etrafimdakiler ama ben henuz siirin ne oldugunu bilmiyordum. Ilk siirim 1980 yilinda Nesil dergisinde yayinlandi. Bazi dergiler yolladigim siirlere bunlari cope at cevabini veriyordum. Yasar Kaplana siirlerimi gonderdim. Bana Istanbula gel yazdi. Ben de Neden? yazdim. Cevap olarak O zaman gelme yazdi. Sonra bana Sen bir sanatkarsin, bunlari oku notuyla 50 kitap yolladi. Orhan Okay, Ahmet Kabakli hocalarimda aynisini soyledi. Universitede artik Felsefe, Psikoloji kitaplari okuyarak alt yapimi zenginlestirdim."
