Category,Content
magazin,"SAPIGIN BILE GURURSUZU BANA DENK GELDI Ece Erken, son gunlerde kendisini surekli rahatsiz eden telefon sapigina isyan etti. Unlu sunucu twitter'dan boyle isyan etti: ELLERIM MUTLAKA UZERINDE DOLASMALI"
magazin,"Cekim donusu Kenan Imirzalioglu, gectigimiz aksam yaklasik bir ay once aldigi GMC marka minibusunden inerken objektiflere yansidi. OBJEKTIFLERE BOYLE YANSIDI FOTO-GALERI Karadayi dizisiyle ekranlara donen Kenan Imirzalioglu, gectigimiz aksam yaklasik bir ay once aldigi GMC marka minibusunden inerken objektiflere yansidi. Evinin bulundugu sokakta goruntulenmek oyuncuyu kizdirdi"
magazin,Paylastigi fotograf Twitter'da olay oldu! Victoria's Secret 2012 Fashion Show'da podyuma cikan Candice Swanepoel gobegini icine cekerek cektirdigi fotografi Instagram'da paylasti. 24 yasindaki supermodel fotografi gondermekte amacinin sova ne kadar onem verdiklerini ispat etmek icin oldugunu belirtti. Dunyanin en cok takip edilen moda gosterisinde podyuma cikan unlu manken sov icin siki spor yaptigini belirtti.
magazin,"DANISTAY, 5 DAKIKA SEVISMEYI UZUN BULDU Danistay, Ask-i Memnu Dizisindeki 5.5 dakikalik sevisme sahnesini uzun buldu. RTUK'e bu konuda sure belirleme yetkisi verdi. Danistay, RTUK'e televizyon dizilere sevisme sahnelerine sure koyma yetkisi tanidi. Danistay'in dizilerdeki toplam sevisme suresine standart getiren bu karari Halit Ziya Usakligil'in olumsuz eseri Ask-i Memnu romanindan Kanal D'ye uyarlanan ayni adi tasiyan dizisiyle ilgili davada verildi. Danistay'in 'sevisme suresi' karari hakkinda ne dusunuyorsunuz MESAJINIZI YAZIN YAYINLAYALIM Danistay 13. Dairesi, dizinin kahramanlari Bihter ve Behlul'un araliklarla toplam  5 dakika 30 saniyelik sevisme sahnesini 'uzun ve ahlaka aykiri' bulan ve kanala ""uyari"" cezasi veren RTUK'u hakli buldu. Kanalin temyiz istemi reddedildi ve mahkeme karari onandi. Bu karar ornek  niteligi  tasiyor. Danistay'in bu karari isiginda, RTUK artik diger dizilerdeki sevisme sahnelerini de ""uzun ve ahlaka aykiri"" diye cezalandirabilecegi one suruluyor. Karara unluler ne dedi KIME GORE, NEYE GORE UZUN? SEZON FINALINE UZUN SEVISME CEZASI Kanal D'deki Ask-i Memnu dizisinin 2009'daki sezon finalinde Bihter rolundeki Beren Saat ile Behlul rolundeki Kivanc Tatlitug'un sevisme sahneleri yer alimsti. Buyuk reyting alan dizi RTUK takibindeydi. RTUK Izleme ve Degerlendirme Dairesi, 5 dakika 30 saniye suren""atesli""sevisme sahnelerinin Turk aile yapisina ve toplumun milli-manevi degerlerine uygun olmadigi yonunde rapor tutmus ve kanala ""uyari"" cezasi verilmisti. MAHKEME DAVAYI REDDETTI Kanalin itiraz uzerine Ankara 8. Idare Mahkemesi, Halit Ziya Usakligil'in romanindan televizyona uyarlanan filmde iki karakter arasindaki yasak askin anlatildigi animsatilmisti. Mahkeme davayi reddetti.  Kararda, dizide araliklarla 5 dakika 30 saniye suren iliski sahnesinin toplumun deger yargilariyla ortusmedigini ve gayri ahlaki oldugu vurgulandi ve soyle denildi: ""Yasak bir askin anlatildigi dikkate alindiginda, dava konusu edilen bolumde iki karakter arasinda yasanan sevisme sahnesinin cocuklarin ve genclerin izleyebilecegi bir saatte yayimlanan dizinin cocuklarin ve genclerin cinsellik hususunda erken uyarilmasina sebep olabilecegi, cocuklarin ve genclerin etkilendigi boyle bir durumdan tum toplumun etkilenmesinin kacinilmaz oldugu"" BU SAHNELER HIC UNUTULMADI DANISTAY'DA TEMYIZE DE RET Bunun uzerine Kanal Yonetimi Danistay 13. Dairesi'nde temyize gitti. Itirazi gorusen Danistay 13 Dairesi,  RTUK'un kararini destekleyen ve dizilerdeki sevisme sahnelerine sure siniri koyma yetkisi taniyan ilginc bir karara imza atti.Temyiz isteminin yerinde olmadigi sonucuna varan Danistay, yerel mahkeme kararini onadi. Bu kararla televizyonlarda yayimlanan sevisme sahnelerine sure siniri ve yeni bir Danistay standardi getirildi."
magazin,"Yagmur ve Emre dudak dudaga Kanal D'nin yeni yildaki iddiali yapimlarindan olan 'Intikam' nefes kesen bir bolumle ekranlardaydi. Dizinin dun aksam yayinlanan bolumunde; Emre'yi yarista izlemeye giden Yagmur, orada babasinin eski dostu Orhan ile karsilasti. Oglu'nun Yagmur'a olan ilgisini fark eden Sahika, Yagmur hakkinda bilinmeyenleri ogrenmek icin harekete gecti ve onu yemege davet etti. Hakan'in da yardimlariyla babasini tuzaga dusurenlerden intikam almaya baslayan Yagmur, Leyla'dan sonra Orhan'i da ortadan kaldirdi. Dizinin en dikkat cekici sahnelerinden biri Yagmur ve Emre'nin dudak dudaga goruldugu anlardi.  Ikilinin basbasa ciktiklari aksam yemegi surpriz bir finalle son buldu. SOSYAL MEDYAYI SALLADI Intikam dizisi ikinci bolumu ile, sosyal medyada buyuk yanki uyandirdi. #intikamzamani, Beren Saat ve Nejat Isler basliklari ile Turkiye TT listesine giren Intikam diziyle ilgili yapilan yorumlarin bazilari soyle; Sena Yurtyapan ?@SenaYurtyapan #intikam dizisini sevdim bugun gunlerden #intikamzamani diyebilirim. FulyaKala ?@FulyaKala1 #intikamzamani Cok sevdim,cok! Yilin en iddiali isi bence!!! Can Atakan ?@Aguaguee #intikamzamani izledigim en iyi dizilerden biri olacak sanirim. sevgi ozdemir ?@SevgiSsevgi #intikamzamani insan hala cocukluk askini sever mi, bekler mi yahu?  Ne guzel bir duygudur kim bilir? :) muzaffer tan ?@mzffrtan Entrika, hirs, yalan dolan dunya hallerinin icinden Beren Saat ve Nejat Isler derinlerden saf sevgiyi one cikariyor, bugulu #intikamzamani Secil Kurt ?@supangleseveer #intikamzamani Bende Derin'in yerinde olsam aynisini yapardim. Asla affetmetmezdim! eylul melis ?@pilatesdelisi O neydi vay arkadas :))) Derin ve Hakan ikilisini cok sevdim #intikamzamani Asli Cotala ?@asli_cotala #intikamzamani #Intikam nasil da guzel geliyor persembe aksamina... Melissa Aydin ?@abeilleceline #intikam dizisi ne kadar guzel bir dizi, nasil bir zeka, nasil hain planlar var... Inanamiyorum resmen. Beren Saat'e de yakismis #intikamzamani"
magazin,Selma ile teselli buluyor Eski Sevgilinin Ismini Bile Duymak Istemiyor Kurtlar vadisi dizisinin Polat Alemdari ile uzun sure birlikte olan ve eski sevgilisinin Nagehan Kasikci ile evliligi sonrasi zor gunler geciren Nur Fettahoglu kendini rol aldigi dizi Muhtesem Yuzyil'a adamisti. Ayni dizide rol alan arkadasi Selma Ergenc'le onceki gun Etilerde goruntuledigimiz Nur Fettahoglu teselliyi arkadaslarinda buldu. Bayan kuaforune gelen ikili cikista basin mensuplarini gorunce suratlari asildi.Gazetecilerin Fettahogluna; Necati Bey hakkinda hicbir zaman konusmayacak misiniz? sorularina Tesekkur ederimdiyerek yanitlayan guzel oyuncu daha sonra rol arkadasi ile arabasina binerek mekandan ayrildi.
magazin,"Gizemin aciklamalarindan haberim yok! Cagatay Ulusoy, yayinlandigi gunden itibaren yaprak dokumune ugrayan ve ardindan yayindan kaldirilan Emir'in yolu dizisinin bitimi ile kendini yeni projelere adamisti. Onceki gun Bebek'te goruntulenen Cagatay Ulusoy, dizide rol aldigi Gizem Karaca'nin Kanalturk ekranlarin da yayinlanan Ikinci sayfa programinda yapmis oldugu; Cekimlerde Cagatay'la opustukten sonra birsey hissetmedimaciklamalari sorulunca yorum yapmadi. Cagatay Ulusoy, Bilmiyorum benim bu aciklamadan haberim yok diyerek Bebek'ten ayrildi. Cagatay Ulusoy, dizisinin yayindan kaldirilmasi sonrasi yeni projelere hazirlandigini da soyledi."
magazin,"Gonca Vuslateri'nin tweet'i ortaligi karistirdi Yalan Dunya dizisinde Eylem'i canlandiran Gonca Vuslateri'nin tweeit'i takipcilerinden tepki aldi. Yalan Dunya dizisinde Orcun'un cilgin sevgilisi Eylem'i canlandiran Gonca Vuslateri, Twitter uzerinden yazdigi ""Yakin arkadaslardan biri asik olunca, bekar arkadasini kapiciya bile yakistiriyor 'Kiz! Siz sevgili olsaniza! Ne yakisirsiniz ha!'ne bu.. "" yazisiyla takipcilerinden tepki aldi. Vuslateri'nin kapici vurgulamasina sinirlenen bazi takipcileri ""Kapici olmakta ne var? Yazik o kafalara"" seklinde tepkide bulunarak takibi birakacaklarini vurguladilar. Genc oyuncu ise ""Hic arkasinda durmamaya yemin ettigim soz 'Oyle demek istemedim.' Ne anladiysaniz onu demisimdir efenim. Niye kasiyorsunuz? Geriyorsunuz"" tweetiyle gelen tepkilere karsi umursamaz bir tavir sergiledi."
magazin,"Merdivende ask Nilgun Belgun ile genc sevgilisi Bekir Unluataer onceki gun IstinyePark'taydi Yuruyen merdivenden asagi iniyorlardi. Objektifleri fark eden Nilgun Belgun sevgilisini atesli bir sekilde optu. Sonra habercilere, ""Bu poz size ozel"" deyip kahkaha ati. POSTA/Abdullah MALKOC"
magazin,"Beren ile Kenan nisanlaniyor! Beren Saat ile Kenan Dogulu'dan surpriz karar: 31 mayista nisan var! Kanal D'deki 'Intikam'in yildizi Beren Saat ile sevgilisi Kenan Dogulu asklarinin birinci yilini gecen hafta kutladi. Kenan Dogulu, Beren Saat'e evlenme teklif etti. 'Evet' cevabini aldi. Cift 31 Mayis'ta aile arasinda yapilacak torenle nisan yuzuklerini takacak. Bu tarihin secilme nedeni; Kenan Dogulu'nun 39. dogum gunu olmasi. Beren ise 28 yasinda. Hayali gercek oldu Beren Saat ile Kenan Dogulu'nun evlilik tarihi ise henuz net degil. Kenan Dogulu 2 yil once yaptigi bir roportajda ""40 yasimda baba olmayi planliyorum. Insallah 38-39 gibi evlenirim"" demisti. Beren Saat ise ""Umarim ileride bir kiz cocugum olur. Oturup onun guzelligini izlemek istiyorum. Annelik fikri beni simdiden heyecanlandiriyor"" seklinde konusmustu. POSTA"
