support,itemsets
0.20173160173160173,"frozenset({'yer', 'olarak'})"
0.2025974025974026,frozenset({'unlu'})
0.20606060606060606,"frozenset({'ilk', 'olan'})"
0.20692640692640693,frozenset({'Istanbul'})
0.2077922077922078,frozenset({'devam'})
0.21212121212121213,frozenset({'Kultur'})
0.21471861471861473,"frozenset({'Bu', 'olarak'})"
0.21645021645021645,frozenset({'once'})
0.21731601731601732,frozenset({'oldugunu'})
0.21991341991341992,"frozenset({'ilk', 'olarak'})"
0.22424242424242424,frozenset({'alan'})
0.22597402597402597,frozenset({'yeni'})
0.2329004329004329,frozenset({'sonra'})
0.24588744588744588,frozenset({'son'})
0.24848484848484848,frozenset({'onemli'})
0.2510822510822511,frozenset({'adli'})
0.258008658008658,frozenset({'arasinda'})
0.2632034632034632,"frozenset({'olan', 'olarak'})"
0.27186147186147186,frozenset({'Turk'})
0.2891774891774892,frozenset({'yil'})
0.2943722943722944,frozenset({'tarafindan'})
0.30822510822510824,frozenset({'buyuk'})
0.31341991341991343,frozenset({'kadar'})
0.3359307359307359,frozenset({'Bu'})
0.3497835497835498,frozenset({'yer'})
0.354978354978355,frozenset({'ilk'})
0.4588744588744589,frozenset({'olan'})
0.4683982683982684,frozenset({'olarak'})
