Category,Content
saglik,"Eklem romatizmasini ozel kiyafetle anlatti AK Parti'li Kavuncu, eklem romatizmasi hastalarinin yasadigi sikintiyi anlatabilmek amaciyla ozel tasarlanan ve hareketi kisitlayan kiyafeti gazeteciye giydirdi. AK Parti Kutahya Milletvekili Vural Kavuncu, romatoid artrit ve anklizon spondilit hastalarinin yasadigi sikintiyi anlatabilmek icin ozel tasarlanan ve hareketi kisitlayan kiyafeti gazeteciye giydirdi. Kavuncu, Meclis'te, Dunya Artrit Gunu nedeniyle, Artrit ile Yasam Dernegi (ARYAD) ve Romatoloji Hemsireleri Dernegi uyeleri ile bir araya geldi. Kronik hastaliklar ve yol actigi sorunlarin ozurluluk nedeni kabul edildigini belirten Kavuncu, bu hastaliklarin ayni zamanda cok maliyetli oldugunu soyledi. Kavuncu, iltihapli romatizmalarin eklemlerde de bozulmalar yaptigini belirtti. Gorusmede, hareket kabiliyetini buyuk olcude kisitlayan hastaliga yakalananlarin neler yasadiklarini gostermek amaciyla, bir gazeteciye ozel bir kiyafet giydirildi. Kiyafeti giyen gazeteci guclukle sandalyeye oturdu ve Kavuncu'nun yardimiyla ayaga kalkti."
saglik,"Hepatit C tarih olabilir! Uzmanlardan hepatit mujdesi... Ankara Universitesi Tip Fakultesi Ic Hastaliklari ve Gastroenteroloji Bilim Dali Ogretim Uyesi Prof. Dr. Hasan Ozkan, bu hastaligin tedavisiyle ilgili olan ve onay alan iki ilacta yuzde 95'in uzerinde basarili sonuclarin alindigini soyledi. 9. Ulusal Hepato Gastroenteroloji Kongresi'nde konusan Ozkan sunlari anlatti: Yakin gelecekte Hepatit C tarihe karisacak. Gunumuzde hastalarin yuzde 40'i sifa buluyor. Ancak simdi onay alan iki yeni ilacla tedavide cok daha basarili sonuclar elde edebilecegiz... Ozkan, karaciger konusunda sadece enginar ve devedikeninin yararli oldugunun belirlendigini de soyledi."
saglik,"Tip dunyasi rehabilitasyonu tartisacak Turkiye Fiziksel Tip ve Rehabilitasyon Uzman Hekimleri Dernegi tarafindan iki yilda bir duzenlenen Tibbi Rehabilitasyon Kongresinin ucuncusu 15-18 Kasim 2012 tarihlerinde Ankarada gerceklestiriliyor. Dunya NoroRehabilitasyon Federasyonunun uyesi ve temsilcisi olan Turkiye Fiziksel Tip ve Rehabilitasyon Uzman Hekimleri Dernegi 2014 yilinda da Istanbulda 8. Dunya NoroRehabilitasyon Kongresini duzenleyecek. 3. Tibbi Rehabilitasyon Kongresi Baskani Prof. Dr. Vesile Sepici, 2006 yilindan beri Ankarada nororehabilitasyon konularinin agirlikli olarak tartisildigi kongrede, ortopedik rehabilitasyon ve agri konulari da etrafli olarak, guncel bilgiler esliginde incelenecegini belirtti. Prof. Dr. Sepici: Kongrenin ilk gunu duzenlenen kurslar, bu yil Fiziksel Tip ve Rehabilitasyon alaninda ilginin giderek arttigi ve yogun taleplerin oldugu konularda planlanmistir. Kurslar egitim hastanelerinde, konularinda deneyimli egitici kadrolarla hasta basinda uygulamali, tam gun sureli olarak yapilacaktir. Ekonomik yonden buyuk sikintilarin yasandigi bu donemde katiliminiz ve katkilariniz bize guc verecektir. Aktif katilimlarinizla bilgilerimizi ve deneyimlerimizi paylasacagimiz, gelismeleri tartisacagimiz kongremize sizleri davet etmekten mutluluk duyuyoruz. diye konustu. Kongre ile ilgili detaylar ve bilimsel program http://www.tsprm2012.org adresinde yer aliyor."
saglik,"Anne sutunu mikrodalgada isitmayin! Almanya'nin onde gelen enstitu, meslek topluluklari ve derneklerini bir araya getiren ""Gesund ins Leben"" adli saglikli yasam agindan beslenme uzmani Anke Weissenborn, dondurulmus anne sutunun 24 saat boyunca dikkatle ve yavas yavas buzdolabinda cozulmesini oneriyor. Deutsche Welle Turkcenin haberine gore; anne sutunun mikrodalga firinda isitilmamasi gerektigini kaydeden uzman, sutun mikrodalgada esit oranda isinmadigini ve sutun kalitesinin de dustugunu belirtiyor. TEKRAR DONDURMAYIN! Weissenborn, cozulen sutun akan ilik su altinda ya da bir kapta icilebilirlik derecesine kadar isitilmasini tavsiye ediyor. Icilebilirlik derecesi de tipki vucut isisi gibi 37 derece. Sutun cozuldukten sonra 12 saat icinde tuketilmesi ve tekrar dondurulmamasi gerektigini ifade eden Weissenborn, ""Geri kalani ise atilmali ve yeniden isitilmamali"" diyor. Cunku kalan sutte bebege zarar verecek bakterilerin olusmasi olasiligi mumkun."
saglik,"Ishal tedavisinde bildiklerinizi unutun Akut ishal vakalari genelde virus kaynaklidir. Federal Alman Eczacilar Odasi tarafinda duzenlenen uluslararasi egitim kongresinde konusan Doc. Dr. Hans-Jorg Epple, ""Akut ishal durumunda antibiyotiklerin normalde bir faydasi yoktur. Yalnizca daha cok bakterilerden kaynaklanan iltihabi durumlarda istisna soz konusu"" aciklamasini yapti. Epple, antibiyotiklerin viral enfeksiyonlarda sadece mantiksiz olmakla kalmadigini ayni zamanda bagirsak bakterilerine zarar verip agir komplikasyonlara yol acabilecegini kaydetti. Ishal tedavisinde kaybedilen elektrolit (tuzlarin sudaki eriyik veya cozeltileri) ve sivinin geri alinmasi buyuk oneme sahip. Dunya Saglik Orgutu, kaybin giderilmesi icin tuz ve belirli miktarda glikoz karisimini oneriyor. Eczanelerde satilan elektrolit cozeltileri de Dunya Saglik Orgutu'nun bu tavsiyesiyle ortusuyor. KOLA VE KRAKER YERINE MUZ Doc. Dr. Epple, geleneksel olarak cogu kisinin tedavi icin kola icip tuzlu cubuk kraker yemesini, akut ishal durumunda tavsiye etmiyor. Kolanin cok fazla seker icerdigini kaydeden Epple, bunun ishali daha da kotulestirebilecegini belirtiyor. Alman uzman, elektrolit cozeltilerin evdeki malzemelerle de kolayca hazirlanabilecegini soyluyor. Epple, bir litre kaynatilmis suya cay kasiginin dortte biri oraninda tuz ve yine dortte bir oraninda kabartma tozu katilmasini ve ardindan iki yemek kasigi seker ya da bal ve yarim bardak portakal suyu eklenmesini tavsiye ediyor. Bunu da zahmetli bulan ishalli hastalara ise Alman uzman su basit yontemi oneriyor: Iki adet orta boy muzu ezin ve afiyetle yiyin! Deutsche Welle Turkce"
saglik,"Gen degisimi, kalp krizi riskini artiriyor ABD'deki Johns Hopkins Universitesi'nden bilim adamlarinin yaptigi arastirmada, genetik varyasyonun neden oldugu kireclenmenin fazla olmasi durumunda, yaygin kalp hastaligi olan aort darligina yol actigi belirtildi. Arastirmacilar, Avrupa'da yasayan yaklasik 7 bin kisideki 2,5 milyon gen degisimini inceledi. Kalp krizi riskini artiran, lipoprotein adi verilen bir tur kolesterol parcacigini kodlayan LPA genindeki degisimin kireclenmeyle baglantili oldugu goruldu. Arastirmacilardan Catherine Campbell, ilk kez lipoprotein ve aort kapaginin kireclenmesi arasinda neden-sonuc iliskisinin kuruldugunu vurguladi. Bilim adamlari, bu gen varyasyonuna 100 kisiden 7'sinde rastlandigini belirtti. Arastirma ""New England Journal of Medicine"" dergisinde yayimlandi.Aort kapaginin kireclenmesinin genetik olmayan etkenleri arasinda, ileri yas, yuksek tansiyon, obezite, yuksek kolesterol ve sigara kullanimi bulunuyor.Erkeklerin bu hastaliga yakalanma riski kadinlardan daha fazla. AA"
saglik,"Ani Isitme Kaybina Dikkat Bir sabah uyandiginizda duymuyorsaniz, ani isitme kaybi yasiyor olabilirsiniz. Dunyada ve Turkiye'de 100 binde 5-20 arasinda gorulen ani isitme kayiplari, ozellikle sonbahar ve ilkbahar gecis donemlerinde daha yogun yasaniyor. Nedeni bilinmeyen ve bulunamayan ani isitme kayiplari, ilk gunlerde hemen mudahale edilmezse kalici isitme kaybina neden olabiliyor. Ani isitme kaybinda erken mudahale ve dogru tedavi cok onemli. Dogru tedavi ile isitmenin normale donmesi mumkun. Bayindir Hastanesi Sogutozu ve Icerenkoy KBB Klinigi'nden Prof. Dr. Nuri Ozgirgin anlatti. Ani isitme kaybi nedir? Ani isitme kaybi birden bire ortaya cikan tek veya iki tarafli isitme azligi durumudur. Niye olur? Nedeni bilinmeyen ve bulunamayan ani isitme kaybinin gelisiminde en onemli neden olarak virusler gosterilmektedir. Ozellikle ucuk virusu olarak da bilinen herpes simpleks virusu olusturdugu enfeksiyonla ic kulakta duyma hucrelerinin zarar gormesine neden olabiliyor. Ani isitme kaybina, herhangi bir travma, cok siddetli sese maruz kalma, basinc degisikligi, hastanin gecirmekte oldugu ic kulak hastaligi, gizli seyreden beyin sapi tumorleri, bazi sistemik hastaliklar ile verem, sitma, akciger ve bobrek hastaliklarinda kullanilan bazi ilaclar ve kanser ilaclari da ani isitme kaybina neden olabiliyor. Nasil ortaya cikar? Ani isitme kaybi bazen hasta tarafindan fark edilen tek ya da iki tarafli isitmede azlik olarak ortaya cikabilecegi gibi baslangicta isitme kaybinin farkinda olunmayabilir. Cogu zaman hastalar yeni baslayan bir cinlama ya da ugultu sesinden rahatsiz olurlar. Bazen de kulakta bir dolgunluk ya da tikaniklik hissi olur. Ne yapmak gerekir? Yeni baslayan kulakta tikaniklik, isitme azligi, ugultu veya cinlama gibi durumlarda zaman gecirmeden kulak-burun-bogaz uzmanina basvurulmalidir. Ani isitme kayiplarinin tedavisinde en onemli nokta teshisin erken konularak tedavinin erken baslanabilmesidir. Erken tedaviyle isitme kaybinin geri donme olasiligi artmaktadir. Nedeni bilinmeyen ve bulunamayan ani isitme kayiplari, ilk gunlerde hemen mudahale edilmezse kalici isitme kaybina neden olabiliyor. Ani isitme kaybinda ilk 48 saat mudahale ve dogru tedavi cok onemli. Dogru tedavi ile isitmenin normale donmesi mumkun. Kesin teshis nasil konur? Ani isitme kaybinin kesin teshisi isitme testi (odyolojik inceleme) yapilarak konur. Ayrica tedaviye yanitin ve iyilesmenin takibinde de odyolojik testlerden faydalanilir. Ani isitme kaybinin tedavisi nasildir? Ani isitme kaybinin tedavisi ilac tedavisidir. En etkili ilac halk arasinda kortizon olarak bilinen kortikosteroidlerdir.  Kortikosteroidler ani isitme kaybinda yuksek dozlarda ve kisa sureli olarak uygulanmaktadir. Kisa sureli tedavide kortikosteroidlerin korkulan yan etkileri gorulmemektedir. Gene de diabetli hastalarda, yuksek tansiyonlu hastalarda ve midesi hassas olan kisilerde kortizonlu ilaclari verirken dikkatli olmak ve tedbir almak gerek.  Ayrica ani isitme kaybinin ilk uc gunde saptanmasi halinde viruslere karsi etkili olan antiviral ilaclar da tedaviye eklenir. Ancak ilk uc gunden sonra etkili olmadiklari icin verilmezler. Ilac tedavisi basladiktan sonra odyolojik test takiplerinde yeterli iyilesme gorulmezse kulak zarindan orta kulaga kortikosteroid enjeksiyonu veya hiperbarik oksijen tedavisi gibi tedavi opsiyonlari da degerlendirilir. Ilac tedavisinin etkili olabilmesi icin en kisa surede hastaligin teshisi ve tedavinin baslamasi onemlidir. Ani isitme kaybinin gelisiminin uzerinden bir ay gectikten sonra tedavi verilmesi fayda saglamayacagindan ilac tedavisi uygulanmaz. Ani isitme kaybi kulak-burun-bogaz hekimligi uygulamasinda bir tibbi acil olarak degerlendirilmektedir. Yeni baslayan ugultu, cinlama, kulakta tikaniklik,  dolgunluk gibi durumlarin varliginda hastalarimizin vakit gecirmeden kulak-burun-bogaz hekiminin yardimina basvurmalari ve gerekli tetkik ve tedavilerinin baslatilmasi kulak sagligi icin son derece onemli."
saglik,"Oksuruk ataklari kalp krizini tetikliyor Firat Universitesi Tip Fakultesi Gogus Hastaliklari Anabilim Dali Baskani Prof. Dr. Mehmet Hamdi Muz, oksuruk ataklarinin kalp krizine yol acabilecegini bildirdi. Muz, yaptigi aciklamada, akcigerin savunma mekanizmasi olan oksurugun faydali bir gorevi yerine getirdigine ancak sureliklilik durumunda kalp, akciger ve vucudun diger organlarina zarar verebilecegine dikkati cekti. Oksurugun cok farkli nedenlerden kaynaklanabilecegini ifade eden Muz, ""Oksuruk kuru ve yas yani balgamli oksuruk olarak ikiye ayrilir. Akut bronsit donemlerinde kuru oksuruk, kronik bronsitteyse yas oksuruk olur. Oksuruk astim, verem, KOAH, akciger kanseri gibi bircok hastaligin habercisi olabilir. Onun icin 10-15 gunu gecen oksuruklerde bir hekime basvurulmasi gerekmektedir"" diye konustu. Prof. Dr. Muz, fazla tahris edici olmayan, gunluk aktiviteleri engellemeyen oksurugun faydali oldugunu belirterek, sureklilik arz eden ve ataga donusen oksuruklerin, kalp ve akcigeri tehdit ettigini bildirdi. KALP HASTALARI RISK ALTINDA Oksuruk ataklarinin ozellikle kalp hastalarini tehdit ettigini ve kalp krizinin habercisi olabilecegini dile getiren Muz, sunlari kaydetti: ""Oksuruk krizi esnasinda kalp zarar gorebilir. Asiri oksurme durumlarinda kalp kapaklari zedelenebilir ve ince damarlarda catlama meydana gelebilir. Kalp rahatsizligi olanlarda kalp krizi yasanabilir. Kalp rahatsizligi olan kisiler sureklilik arz eden oksuruk durumunda mutlaka hekime basvurmali ve hastaligin kaynagi tespit edilmeli."" Prof. Dr. Muz, oksuruk ataklarinin tip literaturunde ""pinomatoraks"" diye adlandirilan akciger sonmesine de yol acabilecegini ifade ederek, ""Oksuruk krizi esnasinda akcigerlerin hava keselerinin yirtilmasi sonucu akcigerlerle gogus duvari arasina giren hava, akcigerin sonmesine sebep olabilmektedir. Boylelikle akcigerlerin bir bolumu ya da tamami cokebilir"" dedi. AA"
saglik,"16 yasina kadar kalbindeki delikle yasadi Konyanin Hadim Ilcesinde yasayan Sedakatli ciftinin ilk cocugu olan 16 yasindaki Fatma Nur Sedakatli cabuk yorulma sikayetiyle ailesi tarafindan Konyadaki bir hastaneye goturuldu. Doktorlarin muayenesinden sonra kalbinin buyudugu ortaya cikan Sedakatlinin bu yasina kadar yasamasini doktorlar mucize olarak degerlendirdi. Tedavi icin Selcuk Universitesi Tip Fakultesi Hastanesine sevk edilen Sedakatliye, Cocuk Kardiyoloji Bilim Dali Baskani Prof. Dr. Bulent Oran baskanligindaki ekip tarafindan anjiyo yapildi. Hastamizin Kalbi Buyuyordu Selcuk Universitesi Tip Fakultesi Cocuk Kardiyoloji Bilim Dali Ogretim Uyesi Yrd.Doc.Dr. Derya Cimen, Bize sevk edilen hastamizin muayenesinden sonra kalpten cikan 2 buyuk damar arasinda normalde dogumdan sonra kapanmasi gereken damarin acik oldugunu, bu yuzden hastamizin kalbinin buyudugunu tespit ettik. 7 milimetre genisligindeki damara anjiyo islemi ile damari tikayici cihaz yerlestirdik. Bu cihaz sayesinde hastamizin kalbindeki acigi kapattik. 30 dakika suren islemimizi basariyla gerceklestirdik dedi. Fatma Nur Sedakatlinin kalbindeki deligin gec fark edildigini belirten Yrd.Doc.Dr. Cimen, Bu damarin iltihaplanmamasi sayesinde hastamiz bu yasina kadar hayatini surdurmus. Eger bu damar iltihaplansaydi, hastamizin hayati tehlikesi ortaya cikabilirdi diye konustu. Doktorlar 16 Yasina Kadar Yasamasi Mucize Dedi 3 cocuk annesi Sultan Sedakatli, kizini cabuk yoruldugu icin hastaneye goturdugunu ve tesadufen kalbindeki rahatsizligi ogrendiklerini belirterek, Ilk muayenede doktorlar kizimin bu yasina kadar hayatini surdurmesine cok sasirdilar. Bunu duyunca cok panikledim. Diger cocuklarim 15 yasindaki Ummiye ile 11 yasindaki Abdullahi da muayeneye getirdim. Cok sukur onlarda herhangi bir sorun ortaya cikmadi. Kizimin iyilesmesinde emegi gecen butun doktorlara tesekkur ederim dedi. 50 Hastanin Kalbindeki Delik Kapatildi Selcuk Universitesi Tip Fakultesi Hastanesinde 5 yildir 50inin uzerinde hastanin kalbindeki deligi basarili mudahaleyle kapattiklarini soyleyen Cocuk Sagligi ve Hastaliklari Anabilim Dali Baskani Prof. Dr. Bulent Oran, Nefes darligi, cabuk yorulma gibi basit belirtiler kalpteki deligin habercisi olabiliyor. Bu hastamiz da bize cabuk yorulma sikayetiyle geldi. Anjiyo islemiyle kalbindeki deligi kapattik. Hastanemizde basariyla gerceklestirdigimiz bu islem icin hastalarimizin artik il disina gitmesine gerek yok dedi. ZEKI DURSUN-KONYA"
saglik,"Oksuruk ataklari, kalp krizine neden olabilir Firat Universitesi Tip Fakultesi Gogus Hastaliklari Anabilim Dali Baskani Prof. Dr. Mehmet Hamdi Muz, oksuruk ataklarinin kalp krizine yol acabilecegini bildirdi. Muz, AA muhabirine yaptigi aciklamada, akcigerin savunma mekanizmasi olan oksurugun faydali bir gorevi yerine getirdigine ancak sureliklilik durumunda kalp, akciger ve vucudun diger organlarina zarar verebilecegine dikkati cekti. Oksurugun cok farkli nedenlerden kaynaklanabilecegini ifade eden Muz, 'Oksuruk kuru ve yas yani balgamli oksuruk olarak ikiye ayrilir. Akut bronsit donemlerinde kuru oksuruk, kronik bronsitteyse yas oksuruk olur. Oksuruk astim, verem, KOAH, akciger kanseri gibi bircok hastaligin habercisi olabilir. Onun icin 10-15 gunu gecen oksuruklerde bir hekime basvurulmasi gerekmektedir' diye konustu. Prof. Dr. Muz, fazla tahris edici olmayan, gunluk aktiviteleri engellemeyen oksurugun faydali oldugunu belirterek, sureklilik arz eden ve ataga donusen oksuruklerin, kalp ve akcigeri tehdit ettigini bildirdi. -Kalp hastalari risk altinda- Oksuruk ataklarinin ozellikle kalp hastalarini tehdit ettigini ve kalp krizinin habercisi olabilecegini dile getiren Muz, sunlari kaydetti: 'Oksuruk krizi esnasinda kalp zarar gorebilir. Asiri oksurme durumlarinda kalp kapaklari zedelenebilir ve ince damarlarda catlama meydana gelebilir. Kalp rahatsizligi olanlarda kalp krizi yasanabilir. Kalp rahatsizligi olan kisiler sureklilik arz eden oksuruk durumunda mutlaka hekime basvurmali ve hastaligin kaynagi tespit edilmeli.' Prof. Dr. Muz, oksuruk ataklarinin tip literaturunde 'pinomatoraks' diye adlandirilan akciger sonmesine de yol acabilecegini ifade ederek, 'Oksuruk krizi esnasinda akcigerlerin hava keselerinin yirtilmasi sonucu akcigerlerle gogus duvari arasina giren hava, akcigerin sonmesine sebep olabilmektedir. Boylelikle akcigerlerin bir bolumu ya da tamami cokebilir' dedi."
