Category,Content
teknoloji,"Kimya Nobeli 2 Amerikali'nin Amerikali bilim adamlari Robert Lefkowitz ile Brian Kobilka, 2012 Nobel Kimya Odulu'nun sahibi oldu. Isvec Kraliyet Bilimler Akademisi, iki bilim adaminin ""onemli sinyalleri disaridan hucre icine ileten, hucre duvarindaki G-proteini-kenetli reseptorlerle"" ilgili yaptiklari calismayla odule layik gorulduklerini duyurdu. Nobel odulleri dinamiti bulan, Isvecli unlu bilim adami Alfred Nobel adina 1895 yilindan bu yana veriliyor. Odule layik gorulen kisiyen ayrica 8 milyon Isvec Kronu (yaklasik 2 milyon 174 bin TL) para odulunun de sahibi oluyor."
teknoloji,"Soyuz yarin yola cikacak Rus yapimi Soyuz uzay araciyla Uluslararasi Uzay Istasyonu'na gitmek uzere yarin yola cikacak 3 astronot, 6 ay surecek gorevlerine hazir olduklarini soyledi. Rusya'nin Kazakistan'dan kiraladigi Baykonur uzay merkezinden takim arkadaslari Rus Oleg Novitsky ve Yevgeny Tarelkin ile yarin UUI'ye yola cikacak NASA pilotlarindan Kevin Ford, ekipte daha once uzay yolculugu deneyimi yasayan tek kisi. Ford, 2009 yilinda Discovery Uzay Mekigi ile UUI'ye uzay ekipmani tasima gorevinde bulunmustu. Ford, duzenledigi basin toplantisinda, ilk haftaki gorevlerinin UUI'deki donanimlari tamir etmek ve ozel sektore ait Dragon kapsulunun ayrilmasini saglamak oldugunu soyledi."
teknoloji,"Izinsiz giris yok! Western Digital (WD), bugun My Book Studio harici sabit surucunun yeni bir versiyonunu duyurdu. USB 3.0 ozelligi, My Book Studio sabit surucu ailesine de aktarilarak, USB 2.0a oranla uc kat daha hizli veri transferi sunuyor. WD ayni zamanda tek bir surucu konfigurasyonuna 4 TB kapasite ekleyerek, bu surucuyu, buyuk ebatlardaki dijital icerigi yedeklemek icin bir cozum haline getirdi. My Book Studio surucu aluminyum yuzeye ve 1 TB, 2 TB, 3 TB ve 4 TB kapasitelere sahip. Apple Time Machine ile calisabilen My Book Studionun, profesyonel ve kisisel icerigi korumak ve yedeklemek uzere sundugu ozellikler, Mac bilgisayarlar icin de ideal. My Book Studio harici sabit surucu kullanicilari, WD Security  sayesinde suruculerini sifreli koruyabiliyor ve 256-bit donanim-tabanli sifreleme ile izinsiz giris konusunda ekstra guvenlige sahip oluyor. WD baskan yardimcisi ve markali ve CE urunlerden sorumlu genel muduru Jim Welsh WDnin USB 3.0li My Book Studio sabit surucusu, bilgisayar kullanicilarinin tercih ettigi standard USB ve FireWire baglantilari saglarken, daha hizli transfer hizlarini da mumkun kiliyor dedi."
teknoloji,"Bilim adamlari 'serseri gezegen'i kesfetti Bilim adamlari, 100 isik yili uzakta herhangi bir yildizin yorungesinde yer almadan kainati basibos gezinen ""serseri bir gezegen"" kesfetti.""Astronomy and Astrophysics"" dergisinde yayimlanan arastirmada, ""CFBDSIR2149-0403"" adi verilen gezegenin 50-120 yas araliginda oldugu belirtildi. Nadir gorulen serseri gezegenlerin bazilari, yildiz olarak doguyor, ancak isik vermesine neden olan nukleer fuzyonu baslatacak kutleye ulasamiyor. Bazilari ise bir yildizin yorungesinde gezegen olarak ortaya cikiyor, ancak daha sonra henuz kesfedilemeyen bir nedenle yildizin yorungesinden cikiyor. Avrupa Guney Yarimkure Astronomik Arastirmalar Kurumu'na (ESO) ait Sili'deki VLT teleskopu ve Hawaii'nin Mauna Kea bolgesinde Kanada ile Fransa'ya ait teleskobu kullanarak yuz milyonlarca yildiz ve gezegeni inceleyen bilim adamlari, Dunya'nin icinde bulundugu Samanyolu Galaksisi yakinlarinda sadece tek bir tane evsiz gezegen tespit edebildiklerini soyledi. Arastirmayi yuruten Montreal Universitesi'nden Etienne Artigau, serseri gezegenin ayni zamanda dogduguna inanilan ve ayni bilesenlerden olusan 30 yildizla birlikte hareket ettigini soyledi. Artigau, cevresindeki gok cisimlerine bakarak serseri yildizin 50-120 yil once yildiz olarak dogmus, ancak yildiz olmak icin yeterli kutleye ulasamamis bir gok cismi oldugunu soyledi. Jupiter'in kutlesinden 4-7 kat buyuk bir kutleye sahip serseri gezegenin yuzeyindeki sicakligin 400 derece oldugu saniliyor."
teknoloji,"Microsoft'un kabusu geri dondu Microsoft'un yenilenen mobil isletim sistemi 16 yasindaki kucuk hacker Shantanu Gawde tarafindan kirildi. Bulunan acigin kullanici verilerini calmaya ve fazlasina izin verdigi soyleniyor. 16 yasindaki Shantanu Gawde, isletim sisteminde buldugu acigi 24 Kasim'da Hindistan'da duzenlenecek MalCon'da gostermeye hazirlaniyor. Hindistan hukumetinin destegini alan National Security Database programinin bir uyesi olan Shantanu Gawde, gecen sene de Microsoft'un Kinect'indeki bir acigi kullanan zararli gelistirmisti. Bulunan acigin Windows Phone 8'deki bir acik mi oldugu, yoksa kullanicinin dikkatsizliginden mi faydalanildigi tam olarak bilinmiyor. MalCon web sitesinde yapilan aciklamaya gore yapilacak tanitimda bir Windows Phone zararli prototipi ile Windows Phone'a virus bulastirma tekniklerinin gosterilecek ve buna kisi listesini calmak, fotograf yuklemek ve kisisel verileri, SMS'leri calmak dahil olacak. Gawde, Windows Phone 8 icin gelistirdigi zararli prototipini tanitimdan sonra antivirus ureticileriyle paylasma sozu veriyor."
teknoloji,"Bilisim Dunyasi toplandi Bilisim dunyasinin orkestra sefleri Microsoft Bilisim Zirvesinde bulustu. Microsoft Turkiye, bilisim sektorunde faaliyet gosteren kurumlar ve is ortaklari ile bilgi teknolojisi uzmanlarina yonelik olarak duzenlendigi Microsoft Bilisim Zirvesi 2012de bilisimde cok sesliligin yonetilebilmesi icin gelistirdigi yeni cozumleri paylasti. Bu yil dorduncusu duzenlenen Microsoft Bilisim Zirvesi, 15 Kasim 2012 tarihinde Istanbul Lutfi Kirdar Uluslararasi Kongre ve Sergi Sarayinda gerceklesti. Uzman konusmacilarin katildigi etkinlikte sektorun gelecegine yon verecek yeniliklerin yani sira Turkiyenin dijital gelecegini bicimlendiren cozumler ve basari oykuleri de anlatildi. Windows, Office, Sunucu-Araclar, Bulut ve Is Ortagi basliklari altindaki 5 paralel oturumda, 25 sunumun gerceklestigi zirveye yaklasik 1.200 bilisim profesyoneli katildi. Zirvenin acilis konusmasini gerceklestiren Microsoft Turkiye Genel Muduru Tamer Ozmen; Teknoloji adaptasyonunun bugune kadar oldugundan cok daha hizli gerceklestigi bir cagda yasiyoruz. Bilisimdeki yeni gelismelerle beraber yepyeni araclarla cok sesliligi yonetmek bilisim yoneticileri icin en onemli konu haline geldi. Icinde bulundugumuz dijital cagda teknoloji, farkli endustriler ve kamu icin cok daha yuksek verimlilik ve firsatlar sagliyor. Bilisim teknolojisi artik hayatlarimizin her alanina nufus etmis durumda. Bu teknoloji insanlarin aileleri, arkadaslari ve ayni zamanda da kurumlar ile cok daha kolay ve kisisellestirilmis iletisim kurmalarini sagliyor. Bagimsiz arastirma sirketi IDCnin analizlerine gore 2020 yilinda bilisim harcamalarinin %80ini yeni mega egilimler olusturacak. Bu dort mega egilimi mobilite, sosyal aglar, bulut ve buyuk veri olarak tanimliyoruz. Microsoft Turkiye olarak kurumlara bu yeni cagda rekabet etmelerini saglayacak ve bu rekabeti firsata cevirecekleri yeni urun ve hizmetleri Turkce olarak sunuyoruz. Ustelik tum bu yenilikleri cihaz karmasasini ortadan kaldirarak, istediginiz zaman tuketici istediginiz zaman uretici olabileceginiz teknolojilerle sagliyoruz dedi. Avea Kurumsal Is Biriminden Sorumlu Kidemli Direktor Tunc Tasman ise zirve ile ilgili olarak; Bugun burada, Turk Telekom Grubu olarak, Turk Telekom, Avea ve TT Net ile guclerimizi birlestirerek hayata gecirdigimiz BIZ kimligimizle bulunuyoruz. Uluslararasi platformda standart koyucu ve referans bir sirket olan Microsoft bunyesinde duzenlenen, bilisim sektorunun gelecegine yon verecek yazilim ve cozumlerin yani sira teknolojinin son trendlerinin de paylasilacagi Microsoft Bilisim Zirvesini, desteklemekten mutluluk duyuyoruz. dedi."
teknoloji,"Satislar dusuyor Kuresel olcekte mobil telefon satislari duserken, dususe ragmen akilli cep telefonu satislari yuzde 47 artti.Gartner arastirma sirketinin raporundan derlenen bilgilere gore, bu yilin ucuncu ceyreginde kuresel mobil telefon satislari, gecen yilin ayni donemine gore yuzde 3 azalma gosterdi. Rapora gore ucuncu ceyrekte 428 milyon adete yakin mobil telefon satilirken isletim sisteminde de Android, yuzde 72'lik bir pazar payina ulasti. Android farki aciyor Mobil isletim sistemi savasinda android, her gecen gun arayi aciyor. Gectigimiz yil ucuncu ceyrekte pazar payi yuzde 52 olan android, payini yuzde 72'ye yukseltti. Symbian'in pazar payi ise yuzde 16,9'dan 2,6'ya dustu."
teknoloji,"En fazla onda bacak var! Bilim adamlari, dunyada en fazla bacaga sahip canlinin anatomik sirlarini cozmeyi basardi.""ZooKeys"" dergisinde yayimlanan arastirmaya gore, ilk kez 80 yil once kesfedilen, kisa bir sure once de California'da yeniden gorulen 750 bacakli kirkayak, cagdaslarindan cok, milyonlarca yil once yasamis atalari ile daha fazla ortak ozellik tasiyor. Arastirmayi yuruten Arizona Universitesi'nden bocek bilimci Paul Marek, ""Illacme plenipes"" adi verilen kirkayagin boceklerin dunyasinda ""mitolojik bir varlik"" olarak nitelendirilebilecegini soyledi. 1926 yilindan bu yana gorulmeyen kirkayagi tarayici elektron mikroskobu ile incelediklerini belirten Marek, bocegin erkeginin 562, disisinin ise 750 bacagi oldugunu soyledi. Isimlerine ragmen kirkayaklarin en yaygin gorulen turu olan ""Polydesmida""nin aslinda 60-65 bacagi bulunduguna isaret eden Marek, Illacme plenipes'in bacaklarinin yer altindaki yasamina uygun bir bicimde evrim gecirdigini dusunduklerini soyledi. 750 bacaga sahip olmalarina karsin sadece 3 santimetre uzunlugundaki kirkayaklari yerin 15 santimetre altinda bulduklarini belirten Marek, kirkayaklarin bacaklarini yer altinda cukur kazmak ve buyuk kum tasi kayalarina tutunmak icin kullandiklarini kaydetti. Mikroskopla yapilan incelemelerin kirkayagin tarih oncesi donemlere ozgu ilkel ozellikler tasidigini gosterdigine dikkati ceken Marek, ""Yapraklar ile bitki koklerini ogutucu disleri ile cigneyen diger kirkayaklarin tersine bu yaratiklar, gelismemis bir anatomiye sahip. Ceneleri kafataslari ile birlesik olan 750 ayakli kirkayaklar, bitkiler ve mantar dokularini once parcalayip sonra emiyor"" dedi. San Francisco yakinlarindaki daglik bolgede kucuk bir alanda bulunan ve turunun son ornekleri olduguna inanilan kirkayaklarin bedeninde ipek salgilayan killar da bulundu."
teknoloji,"Sehir Hatlari'ndan Karekod Tarife Istanbul Buyuksehir Belediyesi Sehir Hatlari, Karekod Uygulamali Tarife ile vapur saatlerini dijital ortama tasiyor.Deniz ulasimindaki yeniliklere bir yenisini daha ekleyen Sehir Hatlari, Istanbulun vapurlarinin kalkis-varis saatlerini iceren Kis Tarifesini QR (Karekod) uygulamasina tasiyor. Yolcularinin deniz seyahatlerini daha kolay planlayabilmeleri icin tum hatlarindaki tarifeli seferlerini 2D Barkod uygulamasiyla dijital ortama tasiyan Sehir Hatlarinin kare matrisinde yayinlanan kodlar sayesinde, yolcular Tarife Kitapcigina dijital ortamdan ulasabilecek. Ilac, gida, basin sektorunde hizla yayginlasmaya baslayan QR kodu kullanimi, barkod iceriginin kamerali akilli telefon ve tabletler tarafindan gorsel cozumleme yontemiyle kullaniliyor. Bilinen barkodlardan daha cok bilgiyi iceriginde barindiran QR (karekod) kodlar, ulasilmak istenen bilginin cabuk yanitlanmasi seklinde tanimlaniyor. Istanbulun vapurlarinin tarifelerine, bundan boyle matris kod uzerinden ulasilarak, vapur kalkis-varis saatlerinin dijital ortamdan daha rahat takibi saglanmis olacak. Akilli telefonlarin hemen hepsinde kullanilabilecek tarifeye gecmek icin Apple Store, Android Market, Nokia Store gibi sanal marketlerden karekod okuma uygulamasi indirmek yeterli."
teknoloji,"Sony'den hacker'lara karsi kesin cozum Son iki yildir basi bu ekiple fena halde dertte olan Sony, artik kesin cozumu bulmus gibi gorunuyor. Konsol dunyasi, gunumuzde hacker'lerin en ugrak yerlerinden bir tanesi olmus durumda. Son iki yildir basi bu ekiple fena halde dertte olan Sony ise, artik kesin cozumu bulmus gibi gozukuyor. Gunumuze kadar gecen surede, envai farkli sekilde hacklenmis olan Sony ve Playstation 3, actigi davalari kazanarak en azindan yumrugunu masaya vurmustu. Yine de bircok kullanicisini kaybetmesine sebep olan bu hack olaylarina, son iki haftadir bir yenisi daha eklendi. Direkt olarak Playstation 3'u hacklemeye yonelik olan bu yeni sorun karsisindaysa Sony'den net bir cevap geldi. Eger hacklendigi dusunulen bir konsol, basta PSN Store ve online oyunlar olmak uzere, Sony'nin online sistemlerinden herhangi birisine giris yaparsa, aninda yok edilecek. Evet, dogru duydunuz, hacklenmis olarak algilanan cihazlar artik Sony tarafindan resmen kullanim disi birakilacaklar..."
