Category,Content
turkiye,"PKK kamplari bombalandi Turk savas ucaklarinin Irak'in kuzeyinde Metina bolgesinin Dergele kesiminde PKK'lilara ait hedefleri bombaladigi bildirildi Bugun sabaha karsi Diyarbakir'da bulunan 2'nci Hava Kuvvet Komutanliga'na bagli 8'inci Ana Jet Ussu'nden kalkan F-16 savas ucaklari, Irak'in kuzeyine yoneldi. Turk savas ucaklari Irak'in kuzeyinde, Metina bolgesinin Dergele kirsalinda daha onceden tespit edilmis teroristlere ait hedefleri vurdu. Sinir otesi hava operasyonunda bolgede bulunan teror orgutune ait ucaksavar bataryalari ile PKK'lilarin gecis noktalari bombalandi. Operasyona katilan savas ucaklari, gorevini tamamlayarak usse dondu. Turk jetlerinin bolgedeki rutin kesif ucuslarinin devam ettigi belirtildi. Kurdistan Yurtseverler Birligi'nin resmi internet sitesi Puk-Media'da yayinlanan habere gore ise, Turk savas ucaklari bugun 02.15- 03.00 saatleri arasinda Berwari bolgesinin Metinan alaninda yer alan Selaze, Yekmal, Hese ve Kaniya Res bolgelerini bombaladigi ifade edildi. Bu arada, Sirnak'in Cudi Dagi kirsalinda ucar birlik harekati ile helikopterlerle komandolar indirildi. Cudi Dagi'nin degisik noktalarina indirilen komandolarin bolgede kapsamli bir operasyon baslattiklari ogrenildi. DHA"
turkiye,"Sehit Uzman Cavus son yolculuguna ugurlandi Hakkari'nin Semdinli Ilcesi kirsalinda PKK'li teroristlerle cikan catismada sehit olan Piyade Uzman Cavus Seyit Yalcin'in cenazesi, memleketi Yozgat'in Bogazliyan Ilcesi'nde 3 bin kisinin katildigi torenin ardindan gozyaslariyla topraga verildi Sehit Uzman Cavus Seyit Yalcin icin Cumhuriyet Meydani'nda duzenlenen cenaze torenine, Basbakan Yardimcisi Bekir Bozdag, MHP Genel Baskan Yardimcisi Sadir Durmaz, AK Parti Yozgat milletvekilleri Yusuf Baser ve Ertugrul Soysal, Yozgat Valisi Abdulkadir Yazici, Yozgat Belediye Baskani Yusuf Baser, Ozel Kuvvetler Komutani Tumgeneral Abdullah Barutcu, Tuggeneral Halil Ibrahim Ergin, belediye baskanlari, kaymakamlar, sehidin silah arkadaslari ve yakinlari ile birlikte 3 bin kisi katildi. Sehit Uzman Cavus Seyit Yalcin Toren oncesi sehidin Kemaliye Mahallesi'ndeki evine giden Basbakan Yardimcisi Bekir Bozdag, Vali Abdulkadir Yazici, sehidin babasi Bayram Yalcin, annesi Sukran Yalcin, nisanlisi 23 yasindaki Ayda Ozturk ve yakinlarina bas sagligi diledi. Sehidin annesi Sukran Yalcin oglunun tabutunun basinda agitlar yakip, ""Annen kanser hastasiydi, o olseydi yavrum"" diyerek agit yakti. Metanetli gorunen sehidin nisanlisi Ayda Ozturk ise cenazeye katilan yakinlarini ""Aglamayin, hainleri sevindirmeyin"" dedi. Ayda Ozturk, ""2.5 ay once nisanlandik. O gun goreve cagirdilar. Askim uzerine dusen gorevi yapti. Ona yakisani yapti. Kendisi ile gurur duyuyorum"" dedi. Sehit Uzman Cavus Seyit Yalcin'in Turk bayragina sarili tabutu alana getirildigi sirada, yakinlari gozyasina boguldu. Kalabalik arasindan firlayip tabuta sarilan sehidin halasi Hatun Hasgul ise yakinlari tarafindan guclukle sakinlestirildi. Toren sirasinda sehidin gorev sirasinda taktigi bordo beresi tabutun ustune konuldu. Ozel Kuvvetler Komutani Tumgeneral Abdullah Barutcu, sehit babasi Bayram Yalcin'in elini operek, taziyelerini iletti. Ayakta durmakta gucluk ceken baba Bayram Yalcin ise yaptigi konusmada, ""Oglum meslegini severek yapiyordu. Vatan sagolsun"" dedi. Toren, saygi durusu ve sehidin ozgecmisinin okunmasiyla basladi. Cenaze namazini Yozgat Muftusu Nuh Korkmaz kildirdi. Muftu Korkmaz sehit asker icin helallik istedi. Cenaze namazina kazilan yaklasik 3 bin kisi 'Helal olsun' diye bagirdi. Daha sonra sehidin annesi Sukran, babasi Bayram, abisi Ergun, kardesi Cihat, nisanlisi Ayda, yakinlari ve silah arkadaslari, Turk bayragina sarili tabutun basinda dua etti, fotografini optu. Ikindi namazinin ardindan kilinan cenaze namazindan sonra sehit Uzman Cavus Yalcin'in cenazesi ilce mezarliginda gozyaslariyla topraga verildi. Harun GOKCEOGLU/BOGAZLIYAN (Yozgat), (DHA)"
turkiye,"Feleknas Uca'ya 'vitamin' gozaltisi Almanya'nin eski AP milletvekili Feleknas Uca, aclik grevindekiler icin Turkiye'ye bol miktarda B1 vitamini sokarken gozaltina alindi Diyarbakir'a gitmek icin THY ait bir ucakla Koln'den Istanbul'a gelen, Almanya'nin Kurt asilli eski Avrupa Parlamentosu (AP) milletvekili Feleknas Uca, Turkiye'ye girisi sirasinda bildirim yapmadan cok sayida B1 vitamini soktugu icin Ataturk Havalimani'nda gozaltina alindi. Edinilen bilgiye gore; Feleknas Uca onceki aksam saat 23.00 siralarinda Turk Hava Yollari'na ait bir ucakla Koln'den Istanbul'a geldi. Yine Turk Hava Yollari'na ait bir ucakla dun gece 01.10'da Diyarbakir'a gidecek olan Uca'nin valizleri polis tarafindan arandi. Yapilan aramada 248 kutu B1 vitamini bulundu. Vitaminlere el konulurken, Feleknas Uca buradaki ilk ifadesinde vitaminleri Diyarbakir'daki cezaevinde aclik grevindekilere getirdigini soylemesi uzerine Terorle Mucadele Sube Mudurlugu ekiplerine haber verildi. Havalimanina gelen ekipler, Feleknas Uca'yi Istanbul Il Emniyet Mudurlugu'ne goturdu. DHA"
turkiye,"Ulusalcilara sert cikti! Basbakan Erdogan, ""Bu ulkede ulusalci gecinenler onumuzu kesmeye calistilar, kesemediler, kesemeyecekler"" dedi. Basbakan Erdogan, Gaziantep Organize Sanayi Bolgesi'ndeki Besler Grub'a ait nisasta ve yem fabrikasinin acilisinda, bu tur acilislari gordukce gururlandiklarini soyledi. Istihdam kapilari acildikca heyecanlarinin da arttigini belirten Erdogan, soyle konustu: ""Cunku bir issize soyle bir is kapisi acildiginda adeta o kapidan asgari 5 kisi giriyor. Bu bolgelerde bu sayi 7'ye 9'a dogru tirmaniyor. Daha da ilerliyor. Her is yerinin acilisi ayni zamanda bir nimet kapisi. Bundan dolayi ben Mustafa beyi, sahsinda da tum girisimcilerimizi, isverenlerimizi tebrik ediyorum, kutluyorum. Bu bolgede bakiyorum ki gidadan tekstile yogun bir fabrikalasma var."" Erdogan, Gaziantep'e cesitli acilislar icin geldigini animsatarak, dun acilisini yaptigi tesislerin toplam maliyetini hatirlatarak, bu acilislarla kentin ""ayri bir yuz"" kazandigini vurguladi. Erdogan, sunlari kaydetti: ""Ozel sektorumuzun de bu tur girisimleriyle hele hele birinci organize, ikinci organize, ucuncu, dorduncu, besinci organize sanayi bolgelerinin dolmus olmasi simdiyse 6. ve 7. organize sanayi bolgelerinin doluyor olmasi gercekten gurur verici. Turkiye'ye de ornek teskil ediyor. Bundan dolayi da sizlerin dayanismasi, sizlerin birligi ve beraberligi inaniyorum ki Gaziantep'i Turkiye'de ornek sehirlerimizden biri haline getirecektir. Bu vesileyle Mustafa beyi, sahsinda Besler Grubu'nun degerli yoneticilerini tebrik ediyorum, kutluyorum. Turkiye'nin ihracat kervanindaki bu guclu yerini, gucunu artirarak devam ettirecegine inaniyorum. Allah bereketini aynen o misir tohumlarindaki gibi ve misir tanelerindeki gibi artirsin."" Bu arada acilis toreninden bir kisinin ""Subat'ta atama yoksa oy da yok"" sozune karsilik, Basbakan Erdogan, ""Kusura bakmayin, bir sey soylediysek, ne soylediysek o olur, baskasi olmaz. Sag ol, o oy senin olsun. Biz oyle spekulasyonlara girmeyiz. Al onu kendine sakla. Tamam kendine sakla. Sen vermen gereken yere ver. Bize kimin oy verecegi belli, bak burada goruyorsun. Sen kendine sakla"" diye konustu. -""Bizim rotamizi siz cizdiniz""- Basbakan Erdogan, milletin temsilcileri olduklarini belirterek, soyle devam etti: ""Biz bu bu ulkede birligin, beraberligin dayanismanin sigortasiyiz. Boyle bu yola ciktik. Spekulasyonlara prim vermedik. Bundan sonrada vermeyecegiz. Bu ulkede ulusalci gecinenler onumuzu kesmeye calistilar, kesemediler, kesemeyecekler. Ulusalcilarin uzantisi olmaya aday olanlar bizden bir sey beklemesin, bulamayacaklar. Bunu da ozellikle soyluyorum. Biz milletin temsilcisiyiz. Bizim rotamizi siz cizdiniz, bu yolda da yurumeye devam edecegiz."" -Bakir tepsi hediye edildi- Besler Grup Yonetim Kurulu Baskani Mustafa Cakmak da tesis hakkinda bilgi verdi. Cakmak, ayrica Basbakan Recep Tayyip Erdogan'a bakir tepsi hediye etti. Konusmalarin ardindan Basbakan Recep Tayyip Erdogan, Basbakan Yardimcisi Besir Atalay, Aile ve Sosyal Politikalar Bakani Fatma Sahin, Gida, Tarim ve Hayvancilik Bakani Mehdi Eker, Milli Egitim Bakani Omer Dincer, Gumruk ve Ticaret Bakani Hayati Yazici, AK Parti Grup Baskanvekili Ahmet Aydin'la birlikte nisasta ve yem fabrikasinin acilis kurdelesini kesti."
turkiye,"Gozaltina alinan avukatlar adliyede Cagdas Hukukcular Dernegi Istanbul Sube Baskani avukat Taylan Tanay'in da aralarinda bulundugu 40 supheli Caglayan'da bulunan Istanbul Adalet Sarayi'na getirildi. Caglayan Adliyesi'nde bir araya gelen Halk Cephesi uyesi yaklasik 100 kisi, DHKP-C teror orgutune yonelik operasyonda avukatlarin ve Grup Yorum uyelerinin gozaltina alinmasini protesto etti. Gruba, CHP Milletvekilleri Huseyin Aygun, Ilhan Cihaner, Mahmut Tanal, Melda Onur ve Ankara Barosu Yonetim Kurulu Uyesi Avukat Erol Aras ile avukatlar destek verdi. Arkadaslarinin gozaltina alinmasini protesto eden Grup Yorum uyelerinden Eren Olcay turku soyledi, bir grup da halay cekti. Halk Cephesi uyesi yaklasik 100 kisi sabah saat 11.00'da Istanbul Adalet Sarayi'nda Adliyesi'nde toplandi. Ellerinde ""Turkuler susturulamaz"", ""Devrimci sanat engellenemez"" yazili pankart tasiyan grup, ""Baskilar, gozaltilar, tutuklamalar bizi yildiramaz"" ve ""Devrimci sanat engellenemez"" diye slogan atti. Gruba, CHP milletvekilleri Huseyin Aygun, Ilhan Cihaner, Mahmut Tanal, Melda Onur ve Ankara Barosu Yonetim Kurulu Uyesi Avukat Erol Aras ile avukatlar destek verdi. ""Devrimci avukatlarin hesap sormasindan korkuyorsunuz"" Basin aciklamasini okuyan Grup Yorum uyelerinden Eren Olcay, ""Butun uretim araclari, butun beyin yikama araclari elinizde ama yine de korkuyorsunuz. Devrimci sanatin halklasmasindan, kitlesellesmesinden, yenilmez bir umuda donusmesinden korkuyorsunuz. Kac sazimizi kirdiniz, studyomuzu dagittiniz, kac bilgisayarimizi, buyuk bir emekle biriktirdiklerimizi capulcular gibi yagmaladiniz. Kac kez calistigimiz kurumlari bastiniz, kac gozalti, kac yasak, kac tutuklama, kac iskence kac kursunlama, kac toplatma..Ne oldu susturabildiniz mi? Sabahattin Ali 1940'li yillarda katledildikten sonra yeni Sebahattin Ali'ler sustu mu? Nazim Hikmetler, Ahmed Arifler, Ruhi Su'lar zindanlarda sustu mu? Pir sultanlar daragaclarinda sustu mu? Simdi Sebahattin Ali'nin kitaplari, Nazim'in, Ahmet Arif'in siirleri, Ruhi Su'nun turkuleri, Pir Sultanin deyisleri, ogretileri on yillardir, yuzyillardir dilden dile yurekten yurege soylene gelir. Binlerce, onbinlercesi dogar, yetisir, uretir..."" dedi. Hukumeti elestiren Olcay, ""Devrimci avukatlarin hesap sormasindan korkuyorsunuz. Zulumle abad olunmaz demis halk. Zulmu ebediyete surduremeyeceksiniz, kalici olmayacaksiniz"" ifadelerini kullandi. Halk Cephesi adina aciklama yapan Meryem Ozturk de gozaltilari elestirerek, kendilerinin susturulamayacagini ifade etti. Basin aciklamalarinin ardindan Grup Yorum uyelerinden Eren Olcay turku soyledi, bir grup da halay cekti. ""Bu dogrudan savunmayi yok etmeye yoneliktir"" CHP Milletvekili Huseyin Aygun, gozaltina alinan avukat Taylan Tanay'i ve Selcuk Kozagacli'yi yakindan tanidigini soyleyerek, ""Taylan'la 2011'de 16 insanin kemiklerini toplu bir mezardan cikarmistik. CHD pek konuyla birlikte calistik. Ben insan haklari ihlallerini parlemantoda dile getirirken CHD'deki avukatlarin buyuk yardimini alan bir milletvekiliyim. Fakat burada Suriye'ye dikkat cekmek istiyorum. Dun Istanbul Emniyet Mudurlugu'nun yabanci ulkeler lehine ajanlik yapma suclamasi son derece temelsiz oldugu gibi, ayni zamanda Suriye'de CHD'nin insan haklarini arastiran tavrina da hukumetin tepkili oldugunu dusunuyorum. Cunku Selcuk Kozagacli 'Suriye'deki insanlik suclarini arastiracagiz ve hukumet aleyhine dava acacagiz' dedi. Tahmin ediyorum bizim hukumetin yuruttugu bu polis operasyonu da tumuyle siyasi. CHD'yi aslinda yuruttugu bu insan haklari faaliyetleri nedeniyle hedef alan gozaltilar yasaniyor. Ama ne 12 Mart'ta ne 12 Eylul'de ne de gunumuzde hic bu gune kadar bu kadar cok sayida avukat gozaltina alinmadi. Bu dogrudan savunmayi yok etmeye yoneliktir. 12 Eylul fasizmi bile boyle bir seye cesaret edememistir"" diye konustu. ""Operasyon kimsesizlerin kimsesi olan avukatlara yapilmis bir operasyondur"" CHP Milletvekili Mahmut Tanal da avukatlarin gozaltina alinmasini elestirerek ""Avukatlara yonelik bu yonelik bu eylem bir zorba devletin yapildigi bir eylemdir. Hukuktan ayrilan bir devlettir. Mesruiyeti olmayan bir devlettir"" seklinde konustu. CHP Milletvekili Melda Onur da ""Bu operasyon kimsesizlerin kimsesi olan avukatlara yapilmis bir operasyondur. Bu opesyon sol dusuncenin, muhalif dusuncenin itibarsizlastirilmasi icin yapiliyor. Bunun pesini birakmayacagiz"" dedi. CHP milletvekili Cihaner: ""Gun savunma meslegini savunma gunudur"" CHP Milletvekili Ilhan Cihaner de ""Cagdas Hukukcular Dernegi 70'li yillardan bu yana Turkiye'de nerede bir hak ihlali iddiasi varsa orada yerini almis mucadele etmis bir gelenegin temsilcileri. Turkiye'de bu oyunu daha oncede gorduk. Ogrenciler tutuklandi, ogrencilik faaliyetinden dolayi degil dendi. Gazeteciler tutuklandi gazetecilik faaliyetinden dolayi degil denildi. Simdi ayni oyunu avukatlar icin yapiyorlar. Avukatlik faaliyetinden avukatlik gorevinden dolayi tutuklanmadiklarini soyluyorlar. Ama Cagdas Hukukcular Dernegi bir savunma orgutu. Ayni sekilde Halkin Hukuk Burosu'da benzer bir gorevi yerine getiren cok eskiden beri hak mucadelesi icinde yerini almis ve avukatlik meslegini icra eden bir orgut. Nasil ki bir zamanlar yazilmamis kitaplari topladilar. Cok buyuk bekleyin ne deliller cikacak dedilerse ayni oyunu simdi oynayip nerede bir direnen varsa, nerede bir muhalif bir yapi varsa onu sindirmeye calisiyorlar. Bu oyuna dusulmemesi gerektigini dusunuyorum. Grup Yorum'ada ayni sekilde baskin yapildi. Henuz cikmamis albumlerinin kayitlarina bile el konuldu. Gun savunma meslegini savunma gunudur. Cagdas Hukukcular Dernegi nasil bu gune kadar ezilenlerin, iskence gorenlerin, hak ihlali uygulayanlarin yaninda olduysa simdide bizlerin onlarin yaninda olmasi gerekiyor"" dedi. 40 supheli adliyede Ote yandan DHKP-C'ye yonelik gectigimiz cuma gunu duzenlenen operasyonda alinan aralarinda avukat Taylan Tanay'inda bulundugu 40 supheli Caglayan'daki Istanbul Adalet Sarayi'na getirildi. Halk Cephesi uyesi yaklasik 10 kisilik grup da adliye onunde bekleyisi devam ederken, polisinde adliye cevresinde yogun guvenlik onlemi aldigi goruldu. CHD Baskani Selcuk Kozagacli gozaltina alindi DHKP-C'ye yonelik operasyon kapsaminda hakkinda yakalama karari cikartilan Cagdas Hukukcular Dernegi (CHD) Baskani Selcuk Kozagacli, Ataturk Havalimani'nda gozaltina alindi. Turk Hava Yollari'na (THY) ait bir ucakla saat 11.30'da Beyrut'tan Istanbul'a gelen Selcuk Kozagacli, kargo terminaline park ettirilen ucaktan indigi sirada Terorle Mucadele Sube Mudurlugu ekipleri tarafindan gozaltina alinarak Istanbul Emniyet Mudurlugu'ne goturuldu."
turkiye,"Balyoz saniklarinin yakinlarindan eylem Balyoz Davasi'nda ceza alan saniklarin aileleri ve yakinlari tarafindan olusturulan 'Vardiya Bizde Platformu' uyeleri Besiktas Demokrasi Parki'nda eylem yapti. Yaklasik 200 kisilik grup, ""Sahte delillerle ak alinlari karartmak isteyenler asil siz Kapkarasiniz"", ""Gerekce yok, hukum var"", ""Balyoz kararlari hukuk katliamidir"" yazan pankart ve dovizler acti. Vardiya Bizde Platformu uyesi grup adina ilk olarak, Balyoz Davasi'ndan 18 yil hapis cezasi alan ve Hasdal Cezaevi'nde yatan Emekli Tugamiral Cem Aziz Cakmak'in yazdigi siir kardesi Filiz Cakmak tarafindan okundu. Ardindan cesitli universitelerin ogretim uyelerinin bagli oldugu dernekler tarafindan hazirlanan ortak basin aciklamasini Istanbul Universitesi ogretim uyesi ve Tum Universite Ogretim Elemanlari Dernegi Baskani Prof. Dr. Serap Kuruca okudu. Aciklamada Ergenekon Davasi'ndan tutuklu bulunan Prof. Dr. Fatih Hilmioglu'nun saglik durumuna dikkat cekilerek, ""Biz ogretim elemanlari dernekleri hukuksuz dayaniksiz ve her turlu usule aykiri olarak tutuklu bulunan ogretim elemanlarinin onemli bir bolumunun durumlarinin yargisiz infaz surecine varmis oldugunu gormekteyiz. Bunlar arasinda ozellikle Prof. Dr. Fatih Hilmioglu, icinde bulundugu agir saglik kosullari nedeniyle yasamini kaybetme tehlikesiyle karsi karsiyadir. Hilmioglu'nun bir an once ozgurlugunun saglanmasi yalnizca yasama kavusmasi acisindan degil ulkemizin alnina surulmus bir kara lekenin silinmesi bakimindan da onemli bir adim olusturacaktir"" denildi."
turkiye,"Turkan Soray da baris istedi Imrali gorusmeleriyle ilgili konusan Turk Sinemasi'nin Sultani Turkan Soray, ""Artik baris gelsin. Herkes kucaklassin"" dedi.(DHA) -- Turkan Soray'in, 'Sinemam ve Ben' adli kitabi icin Denizli'de Teraspark Alisveris Merkezi'nde imza gunu duzenlendi. Alisveris merkezinde buyuk izdiham yasandi. Binlerce kisi alisveris merkezinde Turkan Soray'a buyuk ilgi gosterdi. Soray, gosterilen buyuk ilgiden duygulandi, ""Hepinizi cok seviyorum. Herkesi opuyorum"" dedi. Soray, daha sonra cok sayida kitabini imzaladi, hayranlarinin da gonlunu aldi. Hayranlariyla biraraya gelmeden once alisveris merkezinde basin toplantisi duzenleyen Soray, sorulari yanitladi. Turkan Soray, hukumetin baris adina baslattigi Kurt aciliminin basariya ulasacagini inandigini soyleyerek, ""Sagduyu, sabir ve hosgoruyle barisi basaracagimiza inaniyorum. Artik baris gelsin. Duygularin tahammulu kalmadi, herkes kucaklassin"" dedi. Son yillarda televizyon dizilerinin arttigina vurgu yapan Turkan Soray, ""Yeni jonleri, kadin oyunculari, hepsini cok begeniyorum. Olaganustu guzeller. Erkekler de hep yakisikli. Nesil guzellesiyor. Bir de simdiki nesil egitimli. Biz egitimsizdik. Egitimli olmalari da buyuk avantaj"" diye konustu."
turkiye,"Sefa Apartmani'nin sahibine 22.5 yil hapis istemi Van'da 23 Ekim 2011 tarihinde meydana gelen depremde yikilan ve 20 kisinin olumune neden olan Sefa Apartmani'nin tutuklu sahibi Nezir Bas hakkindaki iddianame tamamlandi. Van 1'inci Agir Ceza Mahkemesi tarafindan kabul edilen 40 sayfalik iddianamede, Bas ve binanin statik projesini hazirlayan Insaat Muhendisi Yusuf Aslan hakkinda, 'Bilincli taksirle birden fazla kisinin olumune ve yaralanmasina neden olmak' sucundan 22.5 yil hapis istendi. Van'da 23 Ekim 2011'de meydana gelen 7.2 buyuklugundeki depremde yikilan 5 katli Sefa Apartmani'nda 20 kisi oldu, cok sayida kisi de yaralandi. Van Cumhuriyet Bassavciligi, bina ile ilgili baslattigi sorusturmayi tamamlayarak iddianame hazirladi. Bir sure aranan ve 8 Kasim 2012 tarihinde teslim olduktan sonra tutuklanan bina sahibi Nezir Bas ile ilgili iddianame Van 1'inci Agir Ceza Mahkemesi tarafindan kabul edilerek dava acildi. Iddianamede Nezir Bas ile binanin statik projesini hazirlayan insaat muhendisi Yusuf Aslan hakkinda 22.5 yil hapis cezasi istenen iddianame hazirlandi.Iddianamede, coken bina tasiyicilarinin yetersiz olduguna dikkat cekilirken, Karadeniz Teknik Universitesi'nin bilirkisi raporlarina yer verildi. Rapordaki verilere gore, binadaki katlar arasindaki kolon boyutlarinda ani farkliliklar goruldugu tespit edildigi ve basinc dayaniminin 1975 yilinda cikarilan Afet Yonetmeligi'ne uymadigi belirtildi. Projede olmadigi halde cati katinda yapilan terasin binaya ek yuk getirdigi belirtilirken, bina sahibi Nezir Bas'in bina altinda bulunan isyerini genisletmek icin kolon kestigine dikkat cekildi. Iddianamade Nezir Bas ve muhendis Yusuf Aslan'in Van'in deprem bolgesinde oldugunu bildikleri halde binanin insaasinda gerekli hassasiyeti gostermediklerine de yer verildi."
turkiye,"Alman askeri ucagindan zorunlu inis Alman Hava Kuvvetleri'ne ait askeri ucak, motorunda meydana gelen ariza nedeniyle Ataturk Havalimani'na acil inis yapti.(DHA) -- Incirlik Hava Ussu'nden Almanya'ya gitmek icin havalanan Alman Hava Kuvvetleri'ne ait askeri kargo ucaginin motorunda ariza meydana geldi. Ucagin pilotu durumu Ataturk Havalimani Hava Trafik Kontrol Kulesi'ne bildirerek inis icin izin istedi. Ucak saat 15.30'da sorunsuz bir sekilde inisini gerceklestirdi. Motorunda ariza meydana gelen ucak teknik bakim icin park alanina cekildi."
turkiye,"Patriotlari tasiyan gemi Iskenderun'da Hollanda'dan gonderilen Patriot fuze savunma sistemlerini tasiyan gemi, Iskenderun Limani'nin 4 mil acigina demirledi. 8 Ocak'ta Hollanda'dan yola cikan Cebelitarik bandirali 18 bin grostonluk Lovise Russ adli gemi, bugun saat 16.00 siralarinda Iskenderun Korfezi'ne giris yapti. 174 metre uzunlugundaki Ro-Ro gemisi, romorkorler yardimiyla Iskenderun Limak Port Limani'nin 4 mil acigindaki park alanina cekilerek demirledi. 'Lovise Russ' adli geminin yarin limana giris yapip, ogle saatlerinde de iskeleye yanasarak yukunu bosaltacagi ogrenildi. Ufuk AKTUG/ISKENDERUN (Hatay), (DHA)"
