Category,Content
yasam,"104 kacagin hayali yarim kaldi Edirne'de yasa disi yollarla yurt disina cikmaya calisan 104 kacak yakalandi. Jandarma ekipleri, merkeze bagli Bosnakoy ve Sarayakpinar koyu ile  Ipsala, Meric ve Uzunkopru ilcesinde duzenledikleri operasyonlarda Irak, Suriye,  Iran, Filistin, Myanmar ve Afganistan uyruklu 104 kisiyi yakaladi. Kacaklar, sinir disi islemleri icin Edirne Emniyet Mudurlugu Yabancilar  Subesi'ne goturuldu."
yasam,"Kurbanliklar pazara cikti Kurban Bayrami icin Istanbul'a getirilen kurbanliklar, satis yerlerine yerlestiriliyor. Bugun yasagin kalkmasinin ardindan Istanbul'a girmesine izin verilen kucukbas ve buyukbas kurbanliklar, yetistiricileri tarafindan satis ve kesim yerlerine getirilmeye baslandi. Ilce belediyelerince, Anadolu yakasinda 11 satis, 40 kesim, 69 hem satis hem kesim yeri, Avrupa yakasinda da 28 satis, 301 kesim ve 32 hem satis hem kesim yeri olusturuldu. Gaziosmanpasa Yildiztabya Mahallesi'ndeki Gaziosmanpasa Belediyesi kurban satis ve kesim yeri, gorevliler tarafindan hazirlanarak, Trakya'dan gelen kurbanliklari kabul etmeye basladi. Ayni anda cok sayida buyuk ve kucukbas hayvanin kesilebildigi modern kesimhanenin cevresine kurulan satis cadirlarina getirilen hayvanlar, alicilarini beklemeye basladi. Gaziosmanpasa Belediyesi yetkilileri, satis ve kesim hizmetlerinin yani sira kurbanlarini kendileri kesmek isteyen vatandaslara ''kurban kesme kursu'' verdiklerini bildirdi. Anadolu yakasi Anadolu yakasinda da getirilen kurbanliklarin satis yerlerine yerlestirilmesine baslandi. Beykoz Belediyesi'nin Cavusbasi'ndaki hizmet binasinin yanina kurulan 4 bin 500 hayvan kapasiteli ''Kurbankent'e'', Erzincan, Kars, Ardahan ve Erzurum'dan getirilen ilk kurbanliklara, veteriner hekim ve zabita ekipleri tarafindan yas ve genel saglik kontrolu yapildi. Bu arada, Anadolu'dan getirilen hayvanlarin Avrupa yakasina, Trakya'dan getirilen hayvanlarin ise Anadolu yakasina gecirilmesine izin verilmeyecegi ogrenildi."
yasam,"Apaydin'dan suruculere kis uyarisi 'Kis yaklasiyor, araclarimizin bakimini yaptiralim' Turkiye Soforler ve Otomobilciler Federasyonu (TSOF) Baskani Fevzi Apaydin, havalarin ulke genelinde sogumasi ve yaklasan kis mevsimi nedeniyle suruculeri uyararak, ""Avrupa'da kis mevsimi erken basladi. Bu sene daha sert bir kis yasayacagimiz soyleniyor. Suruculerimiz araclarinin bakimini yaptirarak, kar lastiklerini takmali, eksiklerini gidermeliler"" dedi. Uzmanlarca yillardir yapilan calismalarin ve tecrubelerin sonunda ortaya cikan kis mevsiminin agir sartlarina uygun olarak yapilmasi gereken kislik bakimin yasal bir zorunlulukta oldugunu da hatirlatan Apaydin, ""Havalarin sogumasiyla bazi bolgelerimizde kis yuzunu gostermeye basladi. Uzun ve yorucu bir kis bizi beklemektedir. Kisin olan kazalarin nedenlerinden; yollardaki buzlanma, aracimizi yolun durumuna gore kullanmamak ve kis kosullarina gore araclarimizi hazirlamamak basta gelmektedir. Bunun icin aracimizin lastiginden, zincirine, fren, direksiyon, sanziman, diferansiyel ile motorun yag bakimi yapilmalidir. Ayrica, akulere asit, radyatorlere ise antifriz biran once konulmalidir. Balatalar, diskler, elektronik aksam, kalorifer-klima sistemi kisaca aractaki butun mekanizmalar gozden gecirilerek araclarimizi kisa hazir hale getirilmeliyiz. Bilhassa kar lastigi kullanmak aracin yolu daha iyi kavramasini, kisa mesafede durmasini ve guvenilir bir sekilde hizlanmasini saglayacagindan her aracin kullanmasinda buyuk fayda vardir. Disleri asinmis bir lastikle kisa girmek basiniza buyuk dertler acabilir. Hatta yedek lastiginizi bile kontrol etmeyi ihmal etmeyin"" diye konustu. ""KAZALARDA DUSUS YETERLI DEGIL"" Bayram tatilinde meydana gelen olumlu trafik kaza sayisindaki dusmenin sevindirici ancak yeterli olmadigini belirten Fevzi Apaydin, ""Yeni kutladigimiz 6 gunluk Kurban Bayrami ve Cumhuriyet bayrami tatilinde meydana gelen trafik kazalarinda 76 vatandasimiz hayatini kaybederken 4 bin 129 vatandasimiz ise yaralandi. Kurban Bayrami tatilinde gunluk ortama olu sayisi 12.6 olurken, donus gunu hayatini kaybeden vatandasimizin sayisi neredeyse 2 katina cikarak 22 kisi oldu. Hep uyariyoruz, donus programinizi son gune birakip, trafigin yogunlugundan gec kaliyoruz psikolojisiyle araclarimizi kullanirsak kaza yapma riskimiz artiyor"" dedi. ""15 MILYON KISI TOPLU TASIMAYI TERCIH ETTI"" Bayram tatili suresince sehirlerarasi otobuslerin karistigi her hangi bir olumlu veya yaralamali trafik kazasinin meydana gelmemesinin onemine isaret eden TSOF Baskani Apaydin, ""Yaklasik 15 milyon vatandasimiz bayram suresince toplu tasim araclarini tercih etmislerdir. Otobuslerimizin de hicbir sekilde kazaya karismamasi yapilan denetimler ile kurallara riayet eden firma ve soforlerimizin basarisidir"" diye belirtti."
yasam,"Patlayan lastigi degistirirken canindan oldu Denizli'de otomobilinin lastigini degistirmeye calisan bir kisi otomobilin carpmasi sonucu hayatini kaybetti, 4 kisi de yaralandi. Kaza dun sabaha karsi saat 04.30 siralarinda meydana geldi. Pamukkale'den Denizli'ye seyreden 23 yasindaki Mustafa Ulger 35 SK 579 plakali otomobilinin lastigi patlayinca arkadasindan yardim istedi. Yardim icin gelen Hasan Yel, 20 AHM 81 plakali otomobilini arkadasi Mustafa Ulger'in otomobilinin arkasina cekti. Bu esnada Denizli'ye gelen Salih Ercelik idaresindeki 20 R 6833 plakali otomobil, park halindeki 20 AHM 81 plakali otomobile ve lastigi degistirmeye calisan Mustafa Ulger'e carpti. Otomobil yol kenarindaki kanala devrildi. Ulger olay yerinde hayatini kaybederken, yol kenarina devrilen 20 AHM 81 plakali otomobilin icinde bulunan Leyla Dev, Zeliha Demirci, Salih Ercelik ve Nail Gokce yaralandi. Yaralilar 112 Acil servis ekiplerince Denizli'deki cesitli hastanelere kaldirildi. Haci SELAMOGLU/DENIZLI"
yasam,"Cezaevinden kacan kisi Bulgaristan'da yakalandi Turkiye'deki bir cezaevinden kactigi belirtilen 56 yasindaki M.Y.'nin Bulgaristan'da yakalandigi bildirildi. Ajansbg'ye gore, M.Y. Sumnu'da gizlenmeye calisirken yakalandi. Haberde Sumnu polisinden verilen bilgiye dayanilarak rutin kontroller sirasinda kimliksiz oldugu anlasilan kacagin Turkiye'den hapisten kactigini ve Bulgaristan'da gizlendigini itiraf ettigi kaydedildi. Haberde polis kaynaklarinin, hapishane kacaginin Bulgaristan'da herhangi bir suca karisip karismadigi sorusturulduktan sonra, Lumimets'teki yabancilar kampina yerlestirilecegini acikladiklari belirtildi. ANKA"
yasam,"Kisi mevsim normallerinde gecirecegiz Turkiye genelinde kis mevsimi sicakliklarinin mevsim normalleri civarinda, Ege ve Akdeniz kiyilarinda ise mevsim normallerinin 0 ile 0,5 derece uzerinde gerceklesmesi bekleniyor. Avrupa Orta Vadeli Hava Tahminleri Merkezi'nin (ECMWF) mevsimlik tahminlerine gore, Turkiye genelinde kis mevsimi sicakliklari mevsim normalleri civarinda, Ege ve Akdeniz kiyilarinda ise mevsim normallerinin 0 ile 0,5 derece uzerinde olacak. Turkiye'de 1994'ten bu yana (1997 haric) pozitif sicaklik anomalileri mevcutken en sicak yil 2 derece anomali ile 2010 oldu, 2011 yili sicakliklari ise mevsim normalleri civarinda gerceklesti. Gozlemlere dayali trend analizinde, Turkiye'deki ortalama sicakliklarda 100 yillik bir zaman diliminde 0,8 derece artis trendi gorulurken, bu kuresel trendle de uyumluluk gosterdi. Yapilan iklim indisi calismasinda da Turkiye'de yaz gunleri ve tropik gecelerde artis, soguk geceler ve soguk gunlerde ise azalis gozlenirken, bu durumun bir isinmaya isaret ettigi degerlendirildi. Son 3 yilin yagislarinin ise normallerinin uzerinde gerceklestigi gozlendi. Turkiye'deki sicaklik anomalileri ile zarar yapan olay sayilari arasinda bir iliski izlenirken, son yillarda artan sicakliklarla birlikte ekstrem olay sayilari da artti. ECMWF'nin mevsimlik tahminlerine gore de Turkiye genelinde aralik, ocak ve subat sicakliklari mevsim normalleri civarinda, ulkenin Ege ve Akdeniz kiyilarinda ise mevsim normallerinin 0 ile 0,5 derece uzerinde gerceklesecek. 'Sicak dalgalari artik rutin hale gelecek' Hukumetlerarasi Iklim Degisikligi Paneli (IPCC) 5. Degerlendirme Raporu'na gore, kuresel ortalama sicaklik sanayi oncesi donemlere gore yaklasik 1 derece yukselirken, Turkiye'nin de yer aldigi Akdeniz havzasinda yuzyilin ortalarinda sicak dalgalari artik rutin hale gelecek. Kucuk ada ulkeleri icin en buyuk tehdit yukselen deniz sularinin istilasi olacak. Gida guvenligi acisindan Afrika diger kitalara oranla cok daha tehlikeli bir yer olurken, felaketler daha siddetli ve daha sik olacagi icin bazi yerlerde yasamin surdurulmesi imkansiz hale gelecek, bu da kalici goclere yol acarak yeni iskan bolgeleri icin baskiyi arttiracak. ntvmsnbc"
yasam,"Apaydin'dan suruculere kis uyarisi 'Kis yaklasiyor, araclarimizin bakimini yaptiralim' Turkiye Soforler ve Otomobilciler Federasyonu (TSOF) Baskani Fevzi Apaydin, havalarin ulke genelinde sogumasi ve yaklasan kis mevsimi nedeniyle suruculeri uyararak, ""Avrupa'da kis mevsimi erken basladi. Bu sene daha sert bir kis yasayacagimiz soyleniyor. Suruculerimiz araclarinin bakimini yaptirarak, kar lastiklerini takmali, eksiklerini gidermeliler"" dedi. Uzmanlarca yillardir yapilan calismalarin ve tecrubelerin sonunda ortaya cikan kis mevsiminin agir sartlarina uygun olarak yapilmasi gereken kislik bakimin yasal bir zorunlulukta oldugunu da hatirlatan Apaydin, ""Havalarin sogumasiyla bazi bolgelerimizde kis yuzunu gostermeye basladi. Uzun ve yorucu bir kis bizi beklemektedir. Kisin olan kazalarin nedenlerinden; yollardaki buzlanma, aracimizi yolun durumuna gore kullanmamak ve kis kosullarina gore araclarimizi hazirlamamak basta gelmektedir. Bunun icin aracimizin lastiginden, zincirine, fren, direksiyon, sanziman, diferansiyel ile motorun yag bakimi yapilmalidir. Ayrica, akulere asit, radyatorlere ise antifriz biran once konulmalidir. Balatalar, diskler, elektronik aksam, kalorifer-klima sistemi kisaca aractaki butun mekanizmalar gozden gecirilerek araclarimizi kisa hazir hale getirilmeliyiz. Bilhassa kar lastigi kullanmak aracin yolu daha iyi kavramasini, kisa mesafede durmasini ve guvenilir bir sekilde hizlanmasini saglayacagindan her aracin kullanmasinda buyuk fayda vardir. Disleri asinmis bir lastikle kisa girmek basiniza buyuk dertler acabilir. Hatta yedek lastiginizi bile kontrol etmeyi ihmal etmeyin"" diye konustu. ""KAZALARDA DUSUS YETERLI DEGIL"" Bayram tatilinde meydana gelen olumlu trafik kaza sayisindaki dusmenin sevindirici ancak yeterli olmadigini belirten Fevzi Apaydin, ""Yeni kutladigimiz 6 gunluk Kurban Bayrami ve Cumhuriyet bayrami tatilinde meydana gelen trafik kazalarinda 76 vatandasimiz hayatini kaybederken 4 bin 129 vatandasimiz ise yaralandi. Kurban Bayrami tatilinde gunluk ortama olu sayisi 12.6 olurken, donus gunu hayatini kaybeden vatandasimizin sayisi neredeyse 2 katina cikarak 22 kisi oldu. Hep uyariyoruz, donus programinizi son gune birakip, trafigin yogunlugundan gec kaliyoruz psikolojisiyle araclarimizi kullanirsak kaza yapma riskimiz artiyor"" dedi. ""15 MILYON KISI TOPLU TASIMAYI TERCIH ETTI"" Bayram tatili suresince sehirlerarasi otobuslerin karistigi her hangi bir olumlu veya yaralamali trafik kazasinin meydana gelmemesinin onemine isaret eden TSOF Baskani Apaydin, ""Yaklasik 15 milyon vatandasimiz bayram suresince toplu tasim araclarini tercih etmislerdir. Otobuslerimizin de hicbir sekilde kazaya karismamasi yapilan denetimler ile kurallara riayet eden firma ve soforlerimizin basarisidir"" diye belirtti."
yasam,"Patlayan lastigi degistirirken canindan oldu Denizli'de otomobilinin lastigini degistirmeye calisan bir kisi otomobilin carpmasi sonucu hayatini kaybetti, 4 kisi de yaralandi. Kaza dun sabaha karsi saat 04.30 siralarinda meydana geldi. Pamukkale'den Denizli'ye seyreden 23 yasindaki Mustafa Ulger 35 SK 579 plakali otomobilinin lastigi patlayinca arkadasindan yardim istedi. Yardim icin gelen Hasan Yel, 20 AHM 81 plakali otomobilini arkadasi Mustafa Ulger'in otomobilinin arkasina cekti. Bu esnada Denizli'ye gelen Salih Ercelik idaresindeki 20 R 6833 plakali otomobil, park halindeki 20 AHM 81 plakali otomobile ve lastigi degistirmeye calisan Mustafa Ulger'e carpti. Otomobil yol kenarindaki kanala devrildi. Ulger olay yerinde hayatini kaybederken, yol kenarina devrilen 20 AHM 81 plakali otomobilin icinde bulunan Leyla Dev, Zeliha Demirci, Salih Ercelik ve Nail Gokce yaralandi. Yaralilar 112 Acil servis ekiplerince Denizli'deki cesitli hastanelere kaldirildi. Haci SELAMOGLU/DENIZLI"
yasam,"Cezaevinden kacan kisi Bulgaristan'da yakalandi Turkiye'deki bir cezaevinden kactigi belirtilen 56 yasindaki M.Y.'nin Bulgaristan'da yakalandigi bildirildi. Ajansbg'ye gore, M.Y. Sumnu'da gizlenmeye calisirken yakalandi. Haberde Sumnu polisinden verilen bilgiye dayanilarak rutin kontroller sirasinda kimliksiz oldugu anlasilan kacagin Turkiye'den hapisten kactigini ve Bulgaristan'da gizlendigini itiraf ettigi kaydedildi. Haberde polis kaynaklarinin, hapishane kacaginin Bulgaristan'da herhangi bir suca karisip karismadigi sorusturulduktan sonra, Lumimets'teki yabancilar kampina yerlestirilecegini acikladiklari belirtildi. ANKA"
yasam,"Kisi mevsim normallerinde gecirecegiz Turkiye genelinde kis mevsimi sicakliklarinin mevsim normalleri civarinda, Ege ve Akdeniz kiyilarinda ise mevsim normallerinin 0 ile 0,5 derece uzerinde gerceklesmesi bekleniyor. Avrupa Orta Vadeli Hava Tahminleri Merkezi'nin (ECMWF) mevsimlik tahminlerine gore, Turkiye genelinde kis mevsimi sicakliklari mevsim normalleri civarinda, Ege ve Akdeniz kiyilarinda ise mevsim normallerinin 0 ile 0,5 derece uzerinde olacak. Turkiye'de 1994'ten bu yana (1997 haric) pozitif sicaklik anomalileri mevcutken en sicak yil 2 derece anomali ile 2010 oldu, 2011 yili sicakliklari ise mevsim normalleri civarinda gerceklesti. Gozlemlere dayali trend analizinde, Turkiye'deki ortalama sicakliklarda 100 yillik bir zaman diliminde 0,8 derece artis trendi gorulurken, bu kuresel trendle de uyumluluk gosterdi. Yapilan iklim indisi calismasinda da Turkiye'de yaz gunleri ve tropik gecelerde artis, soguk geceler ve soguk gunlerde ise azalis gozlenirken, bu durumun bir isinmaya isaret ettigi degerlendirildi. Son 3 yilin yagislarinin ise normallerinin uzerinde gerceklestigi gozlendi. Turkiye'deki sicaklik anomalileri ile zarar yapan olay sayilari arasinda bir iliski izlenirken, son yillarda artan sicakliklarla birlikte ekstrem olay sayilari da artti. ECMWF'nin mevsimlik tahminlerine gore de Turkiye genelinde aralik, ocak ve subat sicakliklari mevsim normalleri civarinda, ulkenin Ege ve Akdeniz kiyilarinda ise mevsim normallerinin 0 ile 0,5 derece uzerinde gerceklesecek. 'Sicak dalgalari artik rutin hale gelecek' Hukumetlerarasi Iklim Degisikligi Paneli (IPCC) 5. Degerlendirme Raporu'na gore, kuresel ortalama sicaklik sanayi oncesi donemlere gore yaklasik 1 derece yukselirken, Turkiye'nin de yer aldigi Akdeniz havzasinda yuzyilin ortalarinda sicak dalgalari artik rutin hale gelecek. Kucuk ada ulkeleri icin en buyuk tehdit yukselen deniz sularinin istilasi olacak. Gida guvenligi acisindan Afrika diger kitalara oranla cok daha tehlikeli bir yer olurken, felaketler daha siddetli ve daha sik olacagi icin bazi yerlerde yasamin surdurulmesi imkansiz hale gelecek, bu da kalici goclere yol acarak yeni iskan bolgeleri icin baskiyi arttiracak. ntvmsnbc"
yasam,"Firari hukumlu yakalaninca canina kiydi Aydin'da Sultanhisar Acik Cezaevi'nden firar ettikten sonra yakalanarak Nazilli E Tipi Kapali Cezaevi'ne konan Mesut Cetinkaya, kurutma ipiyle kendini asti. Bunalima giren Cetinkaya'nin cansiz bedeni diger mahkumlar tarafindan bulundu. Olay; dun sabah saat 10.00 siralarinda Nazilli E Tipi Kapali Cezaevi'nde meydana geldi. Hirsizlik ve dolandiriciliktan tutuklanarak Nazilli E Tipi Kapali Cezaevi'ne konan Mesut Cetinkaya (32), hakkinda verilen 5 yillik hapis cezasini cekerken, iyi halinden dolayi Sultanhisar Acik Cezaevine nakledildi.  Ailevi sorunlari oldugu one surulen Cetinkaya, yaklasik 2 ay once kendisine verilen iznin ardindan geri donmeyerek firar etti. Polis ve jandarma tarafindan yurt genelinde aranan Cetinkaya, 10 gun once Nazilli yakinlarinda yakandi. 'Izin tecavuzu' sucu nedeniyle Nazilli E Tipi Kapali Cezaevi'ne konulan Cetinkaya, dun sabah saatlerinde bonyoda arkadaslari tarafindan olu olarak bulundu. Durumun cezaevi idaresine bildirilmesi uzerine yapilan incelemede Cetinkaya'nin banyoda bulunan camasir kurutma ipini boynuna baglayarak intihar ettigi anlasildi. Cetinkaya'nin cesedi otopsi icin Izmir Adli Tip Kurumu'na gonderildi. Olayla ilgili sorusturma devam ediyor. Arzu BARLAS / AYDIN"
yasam,"Her nefes terore can veriyor! Emniyetin, PKK'nin en onemli mali kaynaklarindan 'kacak sigaraya' yonelik ablukasi suruyor.Osmaniye polisi binlerce paket kacak sigara ele gecirdi. Yetkililer uyariyor... Onder SUSOGLU Osmaniye'de kacak sigaraya dev darbe... Osmaniye polisi, Turkiye'ye kacak yollarla giren paketlerin dogu illerinden batiya sevk edilecegi istihbaratini aldi. Guvenlik gucleri, 3 kamyon ile 1 TIR'i cevirdi. Araclarda 609 bin 170 paket sigara ele gecirildi. Kacagin piyasa degeri 275 bin TL, gumruklendirilmis tahmini degeri ise yaklasik 3 milyon 910 bin 871 TL. Olayla ilgili gozaltina alinan Mehmet S. (41), Aslan T. (44), Murat B. (45), Yilmaz Y. (39) ile Metin C. (40) hakkinda islem yapildi. EMNIYET'In aciklamasinda su bilgiler verildi: 'Teror orgutu dogrudan kendi yaptigi kacakciligin yaninda, sinir bolgelerinde olusturduklari sozde gumruk noktalarinda kacakcilik yapan kisilerden sozde vergi adi altinda harac alarak ciddi gelir elde ediyor. Gumruk kacakciligi ticareti orgutun en etkili mali silahlarindan biri olarak bilinmektedir. Ayrica bu urunleri ulkemizde de piyasaya surmek suretiyle haksiz menfaat temin eden ve bu sekilde devleti zarara ugrattiklari tespit edilen sahis veya cikar amacli suc orgutlerinin her turlu faaliyetlerinin desifre edilmesine yonelik mucadele kararli sekilde devam etmektedir.' AFISLI UYARI OSMANIYE polisi kacak sigaralari yine uyari afisiyle sergiledi. Afiste kacak sigara 'kursun' olarak simgeleniyor. Uzerinde 'Keyifle icmeye devam edin!' yazili. Altta sehit cenazesi uzerinde 'Bu kursunlar bir gun sizi ya da sevdiklerinizi bulabilir' yazisi var."
yasam,"Uyusturucudan 6 kisi tutuklandi Edirne ve Istanbul'da duzenlenen uyusturucu operasyonunda gozaltina alinan 17 supheliden 6'si tutuklandi. Edirne Kacakcilik ve Organize Suclarla Mucadele Subesi ekipleri, Edirne  ve Istanbul'da uyusturucu satisi yaptiklarini belirledikleri sokak saticilarinin  ev ve is yerlerine es zamanli operasyon duzenledi. Operasyonda 376,4 gram toz esrar, 3 enjektor, 1 kuru siki tabanca ile  ''sasal'' tabir edilen uyusturucu madde duzenegi ele gecirildi.Gozaltina alinan 17 supheli emniyetteki islemlerinin ardindan adliyeye  sevk edildi. G.K, G.T, E.Y, E.D, M.S. ve C.C. ''uyusturucu ticareti yapmak'' sucundan  tutuklandi, diger supheliler tutuksuz yargilanmak uzere serbest birakildi."
yasam,"Istanbul'da safak operasyonu Istanbul Emniyet Mudurlugu Organize Suclarla Mucadele Sube Mudurlugu ekipleri, onceden belirledigi cok sayida adrese sabah saatlerinde operasyon duzenledi. Operasyona Terorle Mucadele sube mudurlugu ekipleride destek verdi. Bahcelievler basta olmak uzere olmak uzere bircok ilcede gerceklestirilen operasyonda cok sayida kisinin gozaltina alindigi ogrenildi."
